animal_ID,row,column,cryotube label,box,type,passage,type2,info,CRYOZOO.PASSAGE,NEED STOCK,Thawed,,animal_ID,CRYOZOO PASSAGE,NEED STOCK
A11,7,2,A11 P3,BOX9._N2_RACK2,N2,3,Fibroblast, ,P3,,,,A11,P3,
A11,7,3,A11 P3,BOX9._N2_RACK2,N2,3,Fibroblast, ,P3,,,,A13,P2,
A13,3,2,LEON RUN RUN  A13 P2,BOX9._N2_RACK2,N2,2,Fibroblast,LEON RUN RUN   ,P2,,,,A14,P3,
A13,5,7,LION RUN RUN A13 P2,BOX9._N2_RACK2,N2,2,Fibroblast,LION RUN RUN  ,P2,,,,A15,P1,
A13,5,8,LION RUN RUN A13 P2,BOX9._N2_RACK2,N2,2,Fibroblast,LION RUN RUN  ,P2,,,,A157,?,
A14,6,5,LEON MACHO P0 A14,BOX8_N2_RACK2,N2,0,Fibroblast,LEON MACHO  ,P0,,,,A260,P2,
A14,2,8,A14 P3,Cell.Lines.Bellaterra.II.N2,N2,3,Fibroblast, ,P3,,,,A274,P2,
A15,6,3,A15 p4,BOX7_N2_RACK2,N2,4,Fibroblast, ,P4,,,,A278,P2,
A157,5,9,A157 FIBROS,BOX2_N2_RACK2,N2,0,Fibroblast, FIBROS,P0,,,,A286,P1,
A157,6,9,A157,BOX1_N2_RACK2,N2,0,other,,P-1,,,,A301,P1,YES
A157,1,1,A157,BOX7_N2_RACK2,N2,0,other,,P-1,,,,A308,P2,
A157,1,2,A157,BOX7_N2_RACK2,N2,0,other,,P-1,,,,A322,P4,YES
A157,1,5,A157 0rang P?,BOX7_N2_RACK2,N2,0,other, 0rang P?,P-1,,,,A342,P1,YES
A260,3,2,A260 P2,BOX5_N2_RACK2,N2,2,Fibroblast, ,P2,,,,A345,P0,
A260,5,5,A260 P2,BOX5_N2_RACK2,N2,2,Fibroblast, ,P2,,,,A353,P1,
A274,4,5,A274 P2,RED.BOX.2.N2.to.go,N2,2,Fibroblast, ,P2,,,,A357,P1,
A274,4,1,A274 P2,BOX5_N2_RACK2,N2,2,Fibroblast, ,P2,,,,A37,P2,
A278,4,5,A278 P2 SKIN,BOX5_N2_RACK2,N2,2,Fibroblast,  SKIN,P2,,,,A391,P1,YES
A286,1,9,A286 P1,RED.BOX.2.N2.to.go,N2,1,Fibroblast, ,P1,,,,A422,P1,YES
A286,1,2,A286 P1,BOX5_N2_RACK2,N2,1,Fibroblast, ,P1,,,,A423,P0,YES
A286,2,2,A286 P1,BOX5_N2_RACK2,N2,1,Fibroblast, ,P1,,,,A424,P0,
A301,9,5,A301 P1,BOX5_N2_RACK2,N2,1,Fibroblast, ,P1,YES,,,A439,P1,
A301,1,4,A301 P2,RED.BOX.3.N2.to.go,N2,2,Fibroblast, ,P2,YES,,,A446,P1,
A301,1,8,A301 P2,RED.BOX.3.N2.to.go,N2,2,Fibroblast, ,P2,YES,,,A453,P1,
A308,10,9,A308 P2,RED.BOX.2.N2.to.go,N2,2,Fibroblast, ,P2,,,,A460,P0,YES
A308,3,1,A308 P2,BOX6_N2_RACK2,N2,2,Fibroblast, ,P2,,,,A461,P1,
A322,1,6,A322 P4,Fibro..80.BOX.13,-80,4,Fibroblast, ,P4,YES,,,A462,P1,
A342,5,2,A342 P1,BOX3_N2_RACK2,N2,1,Fibroblast, ,P1,YES,,,A469,P1,
A345,6,2,A345 P0,RED.BOX.3.N2.to.go,N2,0,Fibroblast, ,P0,,,,A70,P2,
A345,1,5,A345 P0,BOX3_N2_RACK2,N2,0,Fibroblast, ,P0,,,,A8,P2,
A345,2,2,A345 P0,BOX3_N2_RACK2,N2,0,Fibroblast, ,P0,,,,A81,P4,
A345,3,3,A345 P0,BOX3_N2_RACK2,N2,0,Fibroblast, ,P0,,,,,,
A345,7,1,A345 P1,RED.BOX.3.N2.to.go,N2,1,Fibroblast, ,P1,,,,,,
A345,7,6,A345 P1,RED.BOX.3.N2.to.go,N2,1,Fibroblast, ,P1,,,,,,
A353,1,3,A353 P1,BOX11_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A353,1,6,A353 P1,BOX11_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A357,5,3,A357 P1,BOX3_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A357,5,4,A357 P1,BOX3_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A357,5,5,A357 P1,BOX3_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A357,5,6,A357 P1,BOX3_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A357,5,7,A357 P1,BOX3_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A357,5,8,A357 P1,BOX3_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A357,4,10,A357 P2,BOX3_N2_RACK2,N2,2,Fibroblast, ,P2,,,,,,
A357,7,1,A357 P2,BOX12_N2_RACK2,N2,2,Fibroblast, ,P2,,,,,,
A357,7,2,A357 P2,BOX12_N2_RACK2,N2,2,Fibroblast, ,P2,,,,,,
A37,1,10,A37 p2 28/9/20,BOX10_N2_RACK2,N2,2,Fibroblast,  28/9/20,P2,,,,,,
A37,5,7,A37p2,BOX10_N2_RACK2,N2,2,Fibroblast,,P2,,,,,,
A37,6,5,A37p2,BOX10_N2_RACK2,N2,2,Fibroblast,,P2,,,,,,
A391,4,3,A391 P1,BOX11_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A422,6,4,A422 P1,BOX11_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A423,6,6,A423 P0,BOX11_N2_RACK2,N2,0,Fibroblast, ,P0,,,,,,
A424,5,7,A424 P0,BOX11_N2_RACK2,N2,0,Fibroblast, ,P0,,,,,,
A424,6,7,A424 P0,BOX11_N2_RACK2,N2,0,Fibroblast, ,P0,,,,,,
A424,8,1,A424 P0,BOX11_N2_RACK2,N2,0,Fibroblast, ,P0,,,,,,
A424,8,2,A424 P0,BOX11_N2_RACK2,N2,0,Fibroblast, ,P0,,,,,,
A439,6,1,A439 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A439,6,2,A439 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A446,4,1,A446 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A446,4,2,A446 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A453,1,6,A453 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A453,5,10,A453 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A460,1,8,A460 P0,BOX12_N2_RACK2,N2,0,Fibroblast, ,P0,YES,,,,,
A461,2,6,A461 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,YES,,,,,
A461,2,7,A461 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,YES,,,,,
A462,2,10,A462 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A462,3,10,A462 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A469,9,5,A469 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A469,10,3,A469 P1,BOX12_N2_RACK2,N2,1,Fibroblast, ,P1,,,,,,
A70,2,5,A70p2,BOX7_N2_RACK2,N2,2,Fibroblast,,P2,,,,,,
A8,6,5,A8 LUTRA P2,BOX9._N2_RACK2,N2,2,Fibroblast, LUTRA ,P2,,,,,,
A8,6,7,A8 LUTRA P2,BOX9._N2_RACK2,N2,2,Fibroblast, LUTRA ,P2,,,,,,
A8,6,8,A8 LUTRA P2,BOX9._N2_RACK2,N2,2,Fibroblast, LUTRA ,P2,,,,,,
A8,6,9,A8 LUTRA P2,BOX9._N2_RACK2,N2,2,Fibroblast, LUTRA ,P2,,,,,,
A8,6,10,A8 LUTRA P2,BOX9._N2_RACK2,N2,2,Fibroblast, LUTRA ,P2,,,,,,
A81,7,2,A81 P4,BOX3_N2_RACK2,N2,4,Fibroblast, ,P4,YES,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
