cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person_in_charge,notes,vials_n2,pellet,micoplasma_test,dna_extr_technician,rna_extr_technician,karyotype
A65,12/4/2020,Panthera leo bleyenberghi,BCN ZOO,27181719/8940,Skin,NA,NA,NA,NA,P2 (4 vials),NA,NA,NA,NA,NA
A65,12/4/2020,Panthera leo bleyenberghi,BCN ZOO,27181719/8940,Skin,NA,NA,NA,NA,P3 (2 vials),NA,NA,NA,NA,NA
A66,12/15/2020,Black crested mangabey,Zoo Safari Elche,27181719/8940,Skin,"Dissection, in culture",NA,Armida,"very small piece, in culture all in 2 wells. One got contaminated the day after, the other one at day 3 ...nothing left.",NA,NA,NA,NA,NA,NA
A67,11/18/2020,Impala,BCN ZOO,QGH19-05174/13498,Ear,"Dissection, in culture",NA,Isa,NA,P1 (2 vials),NA,NA,NA,NA,NA
A67,11/18/2020,Impala,BCN ZOO,QGH19-05174/13498,Ear,NA,NA,NA,NA,P3 (5 vials),NA,NA,NA,NA,NA
A68,1/14/2021,Geronticus Eremita,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue/muscle,"Dissection, in culture + freeze",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A69,1/14/2021,Geronticus Eremita,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,"Dissection, in culture + freeze",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A70,1/14/2021,Dolochites patagonum,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,Dissection- freeze,NA,Isa,NA,biopsia  (piel?)= 3 cryotubes,NA,NA,NA,NA,NA
A70,1/14/2021,Dolochites patagonum,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,NA,NA,NA,NA,P2 (2 cryotube),NA,NA,NA,NA,NA
A70,1/14/2021,Dolochites patagonum,Zoologico Jerez de la Frontera,QGH19-05174/13498,Tissue,NA,NA,NA,NA,P3 (3 cryotube),NA,NA,NA,NA,NA
A71,1/14/2021,Aldabrachelys gigantea,Zoologico Jerez de la Frontera,QGH19-05103/JEREZ / ALDABRA2,Tissue,Dissection- freeze,NA,Isa,look like there is a contamination,biopsia= 3 cryotubes. No sample left?,NA,NA,NA,NA,NA
A72,1/27/2021,Jaguar,Parque de la Naturaleza Caberceno,QGH19-05103/JEREZ / ALDABRA2,Tissue (dermal biopsy),Dissection- freeze,NA,Armida,Perfect cut,biopsy= 3 cryotubes,NA,NA,NA,NA,NA
A72,1/27/2021,Jaguar,Parque de la Naturaleza Caberceno,QGH19-05103/JEREZ / ALDABRA2,Tissue (dermal biopsy),NA,NA,NA,fibros @day 5,NA,NA,NA,NA,NA,NA
A73,2/2/2021,Ateles hybridus,BCN ZOO,MIG12-28734764/6040,Placenta,"Dissection, in culture + freeze",NA,Armida,NA,biopsy= 3 cryotubes,2 pellets,NA,done,NA,NA
A74,2/5/2021,Addax,Parque de la Naturaleza Caberceno,MIG12-28734764/6040,Blood 4ml,PMBc isolation,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A75,2/10/2021,Tito Alba,Zoologico Jerez de la Frontera,MIG12-28734764/6040,Tissue,Dissection- freeze,NA,Armida,NA,biopsy=2 cryotubes,NA,NA,NA,NA,NA
A76,2/11/2021,Saguinus imperator subgrisescens,BCN ZOO,27780193/BARCELONA / 11295,Tissue,Dissection- freeze,NA,Isa,Fibros @ day 6,P3 (1 tubes),2 pellets,NA,done,NA,NA
A77,2/11/2021,Saguinus imperator subgrisescens,BCN ZOO,QGH17-04651/BARCELONA / 13040,Tissue,Dissection- freeze,NA,Isa,Fibros @ day 6,P2 (2 vials),2 pellets,NA,done,NA,NA
A77,2/11/2021,Saguinus imperator subgrisescens,BCN ZOO,QGH17-04651/BARCELONA / 13040,Tissue,NA,NA,NA,NA,P3 (1 tubes),NA,NA,NA,NA,NA
A78,2/16/2021,Oryx gazella,Parque de la Naturaleza Caberceno,ORGA-02,Tissue,"Dissection, in culture + freeze",NA,Armida,NA,biopsy=3 cryotubes,4 pellets,NA,done,NA,NA
A78,2/16/2021,Oryx gazella,Parque de la Naturaleza Caberceno,ORGA-02,Tissue,NA,NA,NA,NA,(P1 2 cryotube),NA,NA,NA,NA,NA
A78,2/16/2021,Oryx gazella,Parque de la Naturaleza Caberceno,ORGA-02,Tissue,NA,NA,NA,NA,(P4 3 cryotube),NA,NA,NA,NA,NA
A79,2/16/2021,Gazella cuvieri,Parque de la Naturaleza Caberceno,Cuvier1,Tissue,"Dissection, in culture + freeze",NA,Armida,fibros @ day 6,biopsy=3 cryotubes,4 pellets,NA,done,NA,NA
A79,2/16/2021,Gazella cuvieri,Parque de la Naturaleza Caberceno,Cuvier1,Tissue,NA,NA,NA,NA,P2 (2 vials),NA,NA,NA,NA,NA
A79,2/16/2021,Gazella cuvieri,Parque de la Naturaleza Caberceno,Cuvier1,Tissue,NA,NA,NA,NA,P4 (2 vials),NA,NA,NA,NA,NA
A80,2/17/2021,Ciconia Ciconia,Zoologico Jerez de la Frontera,CRAS 21/21,Tissue,"Dissection, in culture + freeze",NA,Armida,fibros @ day 6 Cont?,biopsy=2 cryotubes,NA,NA,NA,NA,NA
A81,2/24/2021,Callithrix geoffroyi,Zoologico Jerez de la Frontera,TGD16-00658/ JEREZ TG5,Tissue,NA,NA,Isa,fibros,P1 ( 1cryotube),NA,NA,NA,NA,NA
A81,2/24/2021,Callithrix geoffroyi,Zoologico Jerez de la Frontera,TGD16-00658/ JEREZ TG5,Tissue,NA,NA,NA,NA,P2 (2 cryotube),NA,NA,NA,NA,NA
A82,2/24/2021,Terrapene nelsoni,Zoologico Jerez de la Frontera,FRW17-00798/JEREZ TENE06,NA,NA,NA,Isa,NA,NA,NA,NA,NA,NA,NA
A83,2/25/2021,Calotriton Arnoldi,Torreferrusa,"OR192, Any 2012, male",Tissues,"Dissection, in culture + freeze",NA,Armida,NA,Biopsy= tail 2cryotubes,NA,NA,NA,NA,NA
A83,2/25/2021,Calotriton Arnoldi,Torreferrusa,"OR192, Any 2012, male",NA,NA,NA,NA,NA,muscle / toes / tongue/ skin,NA,NA,NA,NA,NA
A84,3/5/2021,Nanger Dama,BCN ZOO,12876,biopsia skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A85,3/5/2021,Nanger Dama,BCN ZOO,11268,biopsia ear,"Dissection, in culture + freeze",NA,Armida,fibros @day 8,P1 (1 vial),2 pellet,NA,NA,NA,NA
A85,3/5/2021,Nanger Dama,BCN ZOO,11268,biopsia ear,NA,NA,NA,NA,P2 (2 vials),NA,NA,NA,NA,NA
A85,3/5/2021,Nanger Dama,BCN ZOO,11268,biopsia ear,NA,NA,NA,NA,P3 (2 vials),NA,NA,NA,NA,NA
A85,3/5/2021,Nanger Dama,BCN ZOO,11268,biopsia ear,NA,NA,NA,NA,P4 (2 vial),NA,NA,NA,NA,NA
A86,3/9/2021,Geronticus Eremita,Zoologico Jerez de la Frontera,IE2023-VVM20-02434,biopsia,"Dissection, in culture + freeze",NA,NA,NA,NA,NA,NA,NA,NA,NA
A87,3/9/2021,Marmaronetta Angustirostris,Zoologico Jerez de la Frontera,CEP12-24953210,biopsia,"Dissection,  freeze",NA,NA,NA,NA,NA,NA,NA,NA,NA
A88,3/9/2021,Stigmochelys pardalis,Zoologico Jerez de la Frontera,PAR-5-FRW18-00897,biopsia,"Dissection,  freeze",NA,NA,NA,NA,NA,NA,NA,NA,NA
A89,3/9/2021,Gallinula chloropus,Zoologico Jerez de la Frontera,CRAS 25/21,biopsia,NA,NA,NA,NA,biopsy (3 cryotubes),NA,NA,NA,NA,NA
A90,3/16/2021,Saguinus oedipus,Zoologico Jerez de la Frontera,FRW20-01066     SO06,biopsia,"Dissection, in culture + freeze",NA,NA,Fibros @ day 14,biopsy (1 cryotube),NA,NA,NA,NA,NA
A90,3/16/2021,Saguinus oedipus,Zoologico Jerez de la Frontera,FRW20-01066     SO06,"Tissue, not defined",NA,NA,NA,NA,P2 (3 cryotube),NA,NA,NA,NA,NA
A90,3/16/2021,Saguinus oedipus,Zoologico Jerez de la Frontera,FRW20-01066     SO06,"Tissue, not defined",NA,NA,NA,NA,P3 (3 cryotube),NA,NA,NA,NA,NA
A91,3/16/2021,Chamaeleo chamaeleon,Zoologico Jerez de la Frontera,CRAS 663/20,biopsia,To repeat,NA,NA,NA,NA,NA,NA,NA,NA,NA
A92,3/18/2021,Cercocebus lunulatus,BCN ZOO,QGH16-04243,"Tissue, not defined",NA,NA,NA,Fibros,biopsy (1 cryotube),NA,NA,NA,NA,NA
A92,3/18/2021,Cercocebus lunulatus,BCN ZOO,QGH16-04243,"Tissue, not defined",NA,NA,NA,NA,P4 (1 cryotube),NA,NA,NA,NA,NA
A93,3/18/2021,Eurasian spoonbill,BCN ZOO,QGH16-02512,"Tissue, not defined",to repeat,NA,NA,NA,biopsy (2 cryotube),NA,NA,NA,NA,NA
A94,3/18/2021,Ammotragus lervia,BCN ZOO,QGH21-05618,Biopsia,"Dissection, in culture",NA,Isa,NA,biopsy (2 cryotube),NA,NA,NA,NA,NA
A94,3/18/2021,Ammotragus lervia,BCN ZOO,QGH21-05618,"Tissue, not defined",NA,NA,NA,NA,1 cryotube p1,NA,NA,NA,NA,NA
A95,3/24/2021,Leopardus pardalis,Zoologico Jerez de la Frontera,OCE2,Biopsia,"Dissection, in culture",NA,Armida,Re- try samples (SILVIA),biopsy (2 cryotube),2P0 2P1,NA,NA,NA,NA
A96,3/24/2021,Gazella dorcas osiris,Zoologico Jerez de la Frontera,GDO333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A97,3/24/2021,Bennet Macropus rufogriseus,Zoologico Jerez de la Frontera,GDO333,NA,NA,NA,NA,NA,biopsy (2 cryotube),NA,NA,NA,NA,NA
A98,4/13/2021,Nyctalus leisleri,Zoologico Jerez de la Frontera,CRAS 33/21,biopsia,"Dissection, in culture",NA,Armida,NA,no cryotube*,NA,NA,NA,NA,NA
A98,4/13/2021,Nyctalus leisleri,Zoologico Jerez de la Frontera,CRAS 33/21,NA,(small),NA,NA,NA,NA,NA,NA,NA,NA,NA
A99,4/13/2021,Apus pallidus,Zoologico Jerez de la Frontera,CRAS 45/21,biopsia,"Dissection, in culture + freeze",NA,Armida,"no fibros, contamination",biopsia (3 vials),NA,NA,NA,NA,NA
A100,4/13/2021,Psophia crepitans,Zoologico Jerez de la Frontera,TROMP01,biopsia,"Dissection, in culture + freeze",NA,Armida,Fibros @ day 4? Cont?,biopsia (3 vials),NA,NA,NA,NA,NA
A101,4/13/2021,Ciconia ciconia,Zoologico Jerez de la Frontera,CRAS 47/21,biopsia,"Dissection, in culture + freeze",NA,Armida,fibros @day 3,biopsia (3 vials),NA,NA,NA,NA,NA
A101,4/13/2021,Ciconia ciconia,Zoologico Jerez de la Frontera,CRAS 47/21,"Tissue, not defined",NA,NA,NA,NA,P2 (1 cryotube),NA,NA,NA,NA,NA
A101,4/13/2021,Ciconia ciconia,Zoologico Jerez de la Frontera,CRAS 47/21,"Tissue, not defined",NA,NA,NA,NA,P3 (1 cryotube),NA,NA,NA,NA,NA
A102,4/15/2021,Cercocebus lunulatus,BCN ZOO,QGH16-04193,biopsia,"Dissection, in culture",NA,Armida,NA,P1 (1 Cryotube),NA,NA,NA,NA,NA
A102,4/15/2021,Cercocebus lunulatus,BCN ZOO,QGH16-04193,"Tissue, not defined",NA,NA,NA,NA,P2 (1 cryotube),NA,NA,NA,NA,NA
A102,4/15/2021,Cercocebus lunulatus,BCN ZOO,QGH16-04193,"Tissue, not defined",NA,NA,NA,NA,P3 (3 cryotube),NA,NA,NA,NA,NA
A102,4/15/2021,Cercocebus lunulatus,BCN ZOO,QGH16-04193,"Tissue, not defined",NA,NA,NA,NA,P4 (1 cryotube),NA,NA,NA,NA,NA
A103,4/15/2021,Cercocebus lunulatus,BCN ZOO,MIG12-29918008,biopsia,"Dissection, in culture",NA,Armida,NA,NA,NA,NA,NA,NA,NA
A104,4/15/2021,Netta peposaca,BCN ZOO,17967857/BARCELONA / 8374,biopsia traquea,"Dissection, in culture + freeze",NA,Armida,fibros @ day 3,biopsia (3 vials),NA,NA,NA,NA,NA
A105,4/20/2021,Lutra lutra,Zoologico Jerez de la Frontera,2.54E+07,biopsia skin,"Dissection, in culture + freeze",NA,Isa,NA,biopsia ( 2 vials),NA,NA,NA,NA,NA
A106,4/20/2021,Gallineta chloropus,Zoologico Jerez de la Frontera,CRAS 56/21,biopsia skin,"Dissection, in culture + freeze",NA,Isa,NA,biopsia ( 2 vials),NA,NA,NA,NA,NA
A107,4/20/2021,Butorides striata,BCN ZOO,QGH17-04483/BARCELONA / 12948,biopsia traquea,"Dissection, in culture + freeze",Re- try samples (SILVIA),Isa,Fibros (retray samples),biopsia ( 2 vials),NA,NA,NA,NA,NA
A108,4/20/2021,Terrapene nelsoni,Zoologico Jerez de la Frontera,FRW17-00799,biopsia skin,"Dissection, in culture + freeze",NA,Armida/ Ona,NA,biopsia ( 2 vials),NA,NA,NA,NA,NA
A109,4/23/2021,Panthera onca,BCN ZOO,RMC17-00248/BARCELONA / 13814,biopsia left forelimb,"Dissection, in culture + freeze",NA,Armida,Fibros @day 4,biopsia (1 vial),NA,NA,NA,NA,NA
A109,4/23/2021,Panthera onca,BCN ZOO,RMC17-00248/BARCELONA / 13814,"Tissue, not defined",NA,NA,NA,NA,P2 (1 cryotube),NA,NA,NA,NA,NA
A110,4/27/2021,Chlamydosaurus kingii,Zoologico Jerez de la Frontera,RMC17-00248/BARCELONA / 13814,biopsia skin,"Dissection, in culture + freeze",NA,Armida/ Ona,NA,biopsia ( 2 vials),NA,NA,NA,NA,NA
A111,4/27/2021,Vencejo común (Apus apus),Zoologico Jerez de la Frontera,55/21,Biopsia,"Dissection, in culture + freeze",NA,Armida,NA,Biopsia ( 2 vials),NA,NA,NA,NA,NA
A112,4/27/2021,Añade real,Zoologico Jerez de la Frontera,EC 11/21,Biopsia,"Dissection, freeze",NA,Armida,NA,biopsia (  2 vials),NA,NA,NA,NA,NA
A113,4/27/2021,Vencejo pálido (Apus pallidus).,Zoologico Jerez de la Frontera,CRAS 58/21,Biopsia,"Dissection, in culture + freeze",NA,Isa,cont,biopsia ( 2 vials),NA,NA,NA,NA,NA
A114,4/27/2021,Plegasid falcinellus,Zoologico Jerez de la Frontera,42/21,Biopsia,"Dissection, in culture + freeze",NA,Isa,fibros growing p1 not expanding,biopsia ( 2 vials),NA,NA,NA,NA,NA
A115,4/29/2021,Tragelaphus spekii,Aquarium Madrid,MIG12-28842211,Biopsia (placenta),"Dissection, in culture + freeze",NA,Armida,fibros @ day 4?,biopsia (  3 vials),NA,NA,NA,NA,NA
A116,3/23/2021,Orangutan (Pongo),Antoine Blancher (Chris Tyler-Smith),MIG12-28842211,Fibros,NA,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A117,5/4/2021,Hirundo rustica,Zoologico Jerez de la Frontera,CRAS 60/21,Biopsia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A118,5/4/2021,Streptopelia decaocto,Zoologico Jerez de la Frontera,CRAS 65/21,Biopsia,NA,NA,NA,NA,P1 (1 cryotube) P0 (1CT) P4 (1CT),NA,NA,NA,NA,NA
A119,5/4/2021,Plegadis falcinellus,Zoologico Jerez de la Frontera,CRAS 67/21,Biopsia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A120,5/4/2021,Columba livia,Zoologico Jerez de la Frontera,CRAS 68/21,Biopsia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A121,5/11/2021,Conejo Oryctolagus cuniculus,Zoologico Jerez de la Frontera,SM2,Biopsia,"Dissection, in culture + freeze",NA,Isa,"error on the cryotube, there is #115",biopsia ( 2 vials),cont,NA,NA,NA,NA
A122,5/11/2021,Verderón Carduelis chloris,Zoologico Jerez de la Frontera,CRAS 75/21,Biopsia,"Dissection, in culture + freeze",NA,Isa,"error on the cryotube, there is #116",biopsia ( 2 vials),cont,NA,NA,NA,NA
A123,5/11/2021,Paloma torcaz Columba palumbus,Zoologico Jerez de la Frontera,SM4,Biopsia,"Dissection, in culture + freeze",NA,Isa,"error on the cryotube, there is #117",biopsia ( 2 vials),cont,NA,NA,NA,NA
A124,5/11/2021,Espátula Platalea leucorida,Zoologico Jerez de la Frontera,SM1,Biopsia,"Dissection, in culture + freeze",NA,Isa,"error on the cryotube, there is #118",biopsia ( 2 vials),cont,NA,NA,NA,NA
A125,5/11/2021,Martinete Nycticorax nycticoras,Zoologico Jerez de la Frontera,SM3,Biopsia,"Dissection, in culture + freeze",NA,Isa,"error on the cryotube, there is #119",biopsia ( 2 vials),cont,NA,NA,NA,NA
A126,5/11/2021,Cigüeña blanca Ciconia ciconia,Zoologico Jerez de la Frontera,CRAS 78/21,Biopsia,"Dissection, in culture + freeze",NA,Isa,"error on the cryotube, there is #120",biopsia ( 2 vials),cont,NA,NA,NA,NA
A127,5/18/2021,Sanguinus imperator,BCN ZOO,A76(11295)same specimen,Biopsia,"Dissection, in culture + freeze",NA,Isa,NA,biopsia ( 2 vials),fibros 26/05,NA,NA,NA,NA
A127,5/18/2021,Sanguinus imperator,BCN ZOO,A76(11295)same specimen,"Tissue, not defined",NA,NA,NA,NA,NA,P2 (2 ct),NA,NA,NA,NA
A128,5/18/2021,Nycticorax Nycticorax,BCN ZOO,13854/QGH21-05659,Biopsia,"Dissection, in culture + freeze",NA,Isa,NA,biopsia ( 2 vials),fibros 04.06,NA,NA,NA,NA
A129,5/21/2021,Aepyceros melampus petersi,BCN ZOO,QGH19-05221/ BARCELONA / 13544,Biopsia,"Dissection, in culture + freeze",NA,Isa,NA,biopsia ( 2 vials),fibros 26/05,NA,NA,NA,NA
A129,5/21/2021,Aepyceros melampus petersi,BCN ZOO,QGH19-05221/ BARCELONA / 13544,"Tissue, not defined",NA,NA,NA,NA,NA,P2 (1ct),NA,NA,NA,NA
A130,5/28/2021,Sanguinus imperator,BCN ZOO,MIG12-29016886/BARCELONA / 10860,Biopsia (oreja),"Dissection, in culture + freeze",NA,Isa,NA,biopsia ( 2 vials),fibros  02.06,NA,NA,NA,NA
A130,5/28/2021,Sanguinus imperator,BCN ZOO,MIG12-29016886/BARCELONA / 10860,Tissue,NA,NA,NA,NA,NA,P2 (2 ct),NA,NA,NA,NA
A130,5/28/2021,Sanguinus imperator,BCN ZOO,MIG12-29016886/BARCELONA / 10860,Tissue,NA,NA,NA,NA,NA,P3 (1 ct),NA,NA,NA,NA
A131,6/8/2021,Geronticus eremita,Zoologico Jerez de la Frontera,SN1,NA,dissection + 2 cryotubes,NA,Isa,NA,biopsia ( 2 vials),cont,NA,NA,NA,NA
A132,6/8/2021,Eliomys quercinus,Zoologico Jerez de la Frontera,CRAS 133/21,Skin,"Dissection, in culture + freeze",NA,Armida,fibros @ day 3 and 5,3CT p2,P2 (2 ct),NA,NA,NA,NA
A132,6/8/2021,Eliomys quercinus,Zoologico Jerez de la Frontera,CRAS 133/21,Skin,"(5 pieces for tube, total 4 cryotubes)",NA,NA,NA,NA,NA,NA,NA,NA,NA
A133,6/8/2021,Gazella dorcas osiris,Zoologico Jerez de la Frontera,GDO379,NA,dissection + 2 cryotubes,NA,Isa,NA,biopsia ( 2 vials),cont,NA,NA,NA,NA
A134,6/8/2021,Carduelis carduelis,Zoologico Jerez de la Frontera,SN1,NA,dissection + 2 cryotubes,NA,Isa,NA,biopsia ( 2 vials),cont,NA,NA,NA,NA
A135,6/8/2021,Delichon urbica,Zoologico Jerez de la Frontera,CRAS 111/21,NA,dissection + 2 cryotubes,NA,Isa,NA,biopsia ( 2 vials),cont,NA,NA,NA,NA
A136,6/10/2021,Cobo lichi,Parque de la Naturaleza Caberceno,CRAS 111/21,Blood,PBMC (2 cryoutubes),NA,NA,NA,NA,NA,NA,NA,NA,NA
A137,6/10/2021,Bisonte,Parque de la Naturaleza Caberceno,BI-37,Blood,PBMC (2 cryoutubes),NA,NA,NA,NA,NA,NA,NA,NA,NA
A138,6/11/2021,Salmo salar,Parque de la Naturaleza Caberceno,BI-37,Kidney- reproductive tissue-heart,"Dissection, in culture + freeze",NA,Armida,Fibros @ day 3 (from skin),NA,NA,NA,NA,NA,NA
A138,6/11/2021,Salmo salar,Parque de la Naturaleza Caberceno,BI-37,dorsal fin,"(5 pieces for tube, total 3 cryotubes)",NA,NA,NA,NA,NA,NA,NA,NA,NA
A138,6/11/2021,Salmo salar,Parque de la Naturaleza Caberceno,BI-37,NA,"(5 pieces for tube, total 6 cryotubes)",NA,NA,NA,NA,NA,NA,NA,NA,NA
A139,6/11/2021,Gazela Dorcas,Zoo Madrid,BI-37,Placenta,"Dissection, in culture + freeze",NA,Isa,"2 different falcons with placenta, 2CT per falcon with same number (139-1, 139-2)",NA,NA,NA,NA,NA,NA
A140,6/15/2021,Elephas maximus,BCN ZOO,1.14E+07,Blood,PBMC (1 cryoutubes),NA,Armida,NA,NA,NA,NA,NA,NA,NA
A141,6/15/2021,Elephas maximus,BCN ZOO,JLG15-00724,Blood,PBMC (1 cryoutubes),NA,Armida,NA,NA,NA,NA,NA,NA,NA
A142,6/15/2021,Elephas maximus,BCN ZOO,1.53E+07,Blood,PBMC ( 5 cryoutubes),NA,Armida,NA,NA,NA,NA,NA,NA,NA
A143,6/23/2021,Camelus bactranius,BCN ZOO,MG12-28066788/BARCELONA / 8336,Tissue ear,1 cryoutubes,Re- try samples (SILVIA),Isa,2P0 2P1,NA,NA,NA,NA,NA,NA
A144,6/29/2021,Spheniscidae,Zoo Madrid,MG12-28066788/BARCELONA / 8336,Skin,3 cryotubes,NA,Isa,NA,1 cryotube p2,NA,NA,NA,NA,NA
A144,6/29/2021,Pingüino,Zoo Madrid,MG12-28066788/BARCELONA / 8336,Skin,NA,NA,NA,NA,1 cryotube p3,NA,NA,NA,NA,NA
A145,6/29/2021,Carcharhinus amblyrhynchos,Zoo Madrid,TG-05,Skin,3 cryotubes,NA,Isa,NA,NA,NA,NA,NA,NA,NA
A145,6/29/2021,Grey shark,Zoo Madrid,TG-05,Gonade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A146,6/30/2021,Tragelaphus eurycerus,BCN ZOO,QGH19-05305/BARCELONA / 13622,skin,no biopsia left,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A146,6/30/2021,Antilope,BCN ZOO,QGH19-05305/BARCELONA / 13622,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A147,7/1/2021,Aepyceros melampus,BCN ZOO,QGH21-05739/ BARCELONA / 13905,placenta,no biopsia left,NA,Armida,NA,Fibros not growing well. No expanded. Trash,NA,NA,NA,NA,NA
A148,7/2/2021,Gacela dorcas,BCN ZOO,WKP15-00424/ BARCELONA / 13589,skin,NA,NA,Armida,NA,2 cryotubes p1,NA,NA,NA,NA,NA
A148,7/2/2021,Gacela dorcas,BCN ZOO,WKP15-00424/ BARCELONA / 13589,blood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A149,7/7/2021,Ailurus fulgens,Zoo Madrid,2.01E+07,Skin,NA,NA,Armida,fibros,1 cryotube p2,NA,NA,NA,NA,NA
A150,7/8/2021,Elephas maximus,Parque de la Naturaleza Caberceno,2.01E+07,Blood,NA,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A151,7/8/2021,Tortuga boba pequena,Acuario Gijon,2.01E+07,Blood,NA,NA,Armida,NA,PBMC,NA,NA,NA,NA,NA
A152,7/8/2021,Tortuga boba grande,Acuario Gijon,2.01E+07,Blood,NA,NA,Armida,NA,PBMC,NA,NA,NA,NA,NA
A153,7/13/2021,Ursus thibetanus,Zoo Madrid,OT4,Skin,"Dissection, in culture + freeze",Re- try samples (SILVIA),Isa,Try again/ Fibros,NA,NA,NA,NA,NA,NA
A153,7/13/2021,Ursus thibetanus,Zoo Madrid,OT4,Skin,3 cryotubes,NA,NA,2P0 2P1 3P2,NA,NA,NA,NA,NA,NA
A154,7/13/2021,Lophocebus aterrimus,Zoo safari Elche,QVG16-00005/ELCHE SAF / 1301,Placenta,"Dissection, in culture + freeze",NA,Isa,Try again,NA,NA,NA,NA,NA,NA
A155,7/16/2021,Halcyon malimbica,BCN Zoo,QGH15-02460/:BARCELONA / 12615,Paw,"Dissection, in culture + freeze",NA,NA,@no fibros,NA,NA,NA,NA,NA,NA
A156,7/16/2021,Nanger Dama Mhorr,BCN Zoo,MIG12-29591142/BARCELONA / 11341,Skin,"Dissection, in culture + freeze",NA,NA,@no fibros,NA,NA,NA,NA,NA,NA
A157,3/23/2021,Orangutan (Pongo),Antoine Blancher (Chris Tyler-Smith),MIG12-29591142/BARCELONA / 11341,Fibros,NA,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A158,7/20/2021,Dromaius novaehollandiae,Zoo Madrid,2.79E+07,Skin,"Dissection, in culture + freeze",NA,NA,Try again,NA,NA,NA,NA,NA,NA
A159,7/22/2021,Sus scrofa,Zoo Madrid,2.79E+07,Skin,"Dissection, in culture + freeze",Re- try samples (SILVIA),NA,Try again,NA,NA,NA,NA,NA,NA
A160,7/27/2021,Macropus rufogriseus,Zoo Madrid,WKP21-01924,Skin,"Dissection, in culture + freeze",NA,NA,@fibros day 3,NA,NA,NA,NA,NA,NA
A161,7/29/2021,Artibeus jamaicensis,Zoologico Jerez de la Frontera,WKP21-01924,Skin,"Dissection, in culture + freeze",NA,NA,@no fibros,NA,NA,NA,NA,NA,NA
