cell_line_ID,date,animal_species,coming_from,species_360_local_id,body_part,process,medium,person_in_charge,notes,vials_n2,pellet,micoplasma_test,dna_extr_technician,rna_extr_technician,karyotype
A162,7/29/2021,Cercocebus lunulatus,Zoologico Jerez de la Frontera,MC21,Skin,"Dissection, in culture + freeze",NA,NA,@no fibros,NA,NA,NA,NA,NA,NA
A163,7/29/2021,Mandrillus sphinx,Zoo Madrid,WKP21-01923,Skin- Uterus,"Dissection, in culture + freeze",NA,NA,@fibros at day 5,(P5 2 cryotubes),NA,NA,NA,NA,NA
A164,8/3/2021,Otario de patagonia (león marino),Zoo Madrid,LMA-29,Skin - ovary,"Dissection, in culture + freeze",NA,Isa,@fibros at day 7,NA,NA,NA,NA,NA,NA
A165,8/10/2010,Miopithecus ogounensis (talapoin),BCN ZOO,QGH21-05798/ BARCELONA / 13935,placenta,"Dissection, in culture + freeze",NA,Isa,cont. Try again. Fibros 16/9. EGF2 (no change). 28/9 FBM.,NA,NA,NA,NA,NA,NA
A166,8/10/2010,Aepycerus Melampus (Impala),BCN ZOO,QGH21-05797,placenta,"Dissection, in culture + freeze",NA,Isa,cont. Try again. Fibros 27/9,NA,NA,NA,NA,NA,NA
A167,8/19/2010,Gacela Dorcas,BCN ZOO,29435071/BARCELONA / 13096,ear,"Dissection, in culture + freeze",NA,Isa,Fibros day 11.,(P2 3 cryotube),NA,NA,NA,NA,NA
A168,8/19/2021,Lama Guanicoe (guanaco),BCN ZOO,20702,ear,"Dissection, in culture + freeze",NA,Isa,"1 CT p0, 2 CT p2, 3 CT p3",NA,NA,NA,NA,NA,NA
A169,8/31/2021,Oryx dammah,BCN ZOO,1.80E+07,ear,"Dissection, in culture + freeze",NA,Armida,cont fungi. Fibros 15/9,(P4 1 cryotube),NA,NA,NA,NA,NA
A170,8/31/2021,Eulemur fulvus mayottensis,Madrid Zoo,2.79E+07,skin,"Dissection, in culture + freeze",NA,Armida,1CT fibros from biopsy,(P2 2 cryotube),NA,NA,NA,NA,NA
A171,9/2/2021,Nanger Dama,BCN zoo,MIG12-28152170,skin,"Dissection, in culture + freeze",NA,Isa,fibros appearing 8/9,NA,NA,NA,NA,NA,NA
A172,9/7/2021,Bisonte,Zoo Madrid,2.79E+07,skin,"Dissection, in culture + freeze",NA,Isa,fibros appearing 13/9,NA,NA,NA,NA,NA,NA
A173,9/7/2021,Varano,BCN zoo,QGH18-0489,skin?,"Dissection, in culture + freeze",NA,Isa,cont!,NA,NA,NA,NA,NA,NA
A174,9/8/2021,Cercopithecus neglectus,BCN ZOO,26674024/13192,skin,"Dissection, in culture",NA,Isa,fibros 14/9,(P0 1 cryotube),NA,NA,NA,NA,NA
A175,9/8/2021,Ailuropoda melanoleuca,ZOO MADRID,WKP21-01929?,cordón umbilical,"Dissection, in culture + freeze",NA,Isa,fibros appearing 14/9,NA,NA,NA,NA,NA,NA
A176,9/8/2021,Ailuropoda melanoleuca,ZOO MADRID,WKP21-01929?,cordón umbilical,"Dissection, in culture + freeze",NA,Isa,fibros appearing 13/9,(P0 2 cryotube),NA,NA,NA,NA,NA
A176,9/8/2021,Ailuropoda melanoleuca,ZOO MADRID,WKP21-01928?,cordón umbilical,3CT,NA,NA,Expanding p1,(P1 1cryotube),NA,NA,NA,NA,NA
A176,9/8/2021,Ailuropoda melanoleuca,ZOO MADRID,WKP21-01928?,cordón umbilical,grande,NA,NA,NA,( P2 2cryotubes),NA,NA,NA,NA,NA
A176,9/8/2021,Ailuropoda melanoleuca,ZOO MADRID,WKP21-01928?,cordón umbilical,NA,NA,NA,NA,(P3 1 cryotube),NA,NA,NA,NA,NA
A177,9/10/2021,Buho rival,ZOO MADRID,2.49E+07,skin,"Dissection, in culture + freeze",NA,Isa,cont!,NA,NA,NA,NA,NA,NA
A177,9/10/2021,Buho rival,ZOO MADRID,2.49E+07,traquea,3CT skin + 2 CT traquea,NA,NA,NA,NA,NA,NA,NA,NA,NA
A178,9/15/2021,Tritó del montseny,BCN ZOO,2.49E+07,larva,"Dissection, in culture",NA,Isa / Armida,"@trying matrigel, gelatin and non-coated wells",NA,NA,NA,NA,NA,NA
A179,9/15/2021,Tritó del montseny,BCN ZOO,2.49E+07,larva,"Dissection, in culture",NA,Isa / Armida,@non-coated plate with alphaMEM:FBM at 28ºC,NA,NA,NA,NA,NA,NA
A180,9/21/2021,Apus pallidus,Zoologico Jerez de la Frontera,CRAS 365/21,Skin,"Dissection, in culture",NA,Armida,Fibros 28/9   To repeat from biopsia,NA,NA,NA,NA,NA,NA
A181,9/21/2021,Phoenicopterus roseus,Zoologico Jerez de la Frontera,FRW21-01235,Skin,"Dissection, in culture",NA,Armida,NA,NA,NA,NA,NA,NA,NA
A182,9/28/2021,Connochaetes taurinus,BCN ZOO,1.95E+07,Skin,"Dissection, in culture",NA,Isa,Fibros 8/10,(P0 1 cryotube),NA,NA,NA,NA,NA
A182,9/28/2021,Connochaetes taurinus,BCN ZOO,1.95E+07,Skin,3CT,NA,NA,NA,(P1 2 cryotubes),NA,NA,NA,NA,NA
A183,10/1/2021,Cercocebus torquatus,BCN ZOO,QGH14-02193,Skin,"Dissection, in culture",NA,Armida,Fibros 8/10,P1 1 cryotube,NA,NA,NA,NA,NA
A183,10/1/2021,Cercocebus torquatus,BCN ZOO,QGH14-02193,Skin,NA,NA,NA,NA,P2 1 cryotube,NA,NA,NA,NA,NA
A183,10/1/2021,Cercocebus torquatus,BCN ZOO,QGH14-02193,Skin,NA,NA,NA,NA,P3 1 cryotube,NA,NA,NA,NA,NA
A184,10/1/2021,Testudo hermanni hermanni,BCN ZOO,2.09E+07,Skin,"Dissection, in culture",NA,Armida,fibros 8/11/2021,NA,NA,NA,NA,NA,NA
A185,A185,ARATINGA SOLSTITIALIS,BCN ZOO,2.09E+07,Trachea,1CT traquea,AlfaMEM/FBM,NA,NA,NA,NA,NA,NA,NA,NA
A185,A185,ARATINGA SOLSTITIALIS,BCN ZOO,2.09E+07,Skin,1CT skin,NA,NA,NA,NA,NA,NA,NA,NA,NA
A186,06/10121,Ateles hybridus,BCN ZOO,QGH16-04259/12875,Skin,"Dissection, in culture",AlfaMEM/FBM,Armida,fibros 18/10,P2 1 cryotube,NA,NA,NA,NA,NA
A186,06/10121,Ateles hybridus,BCN ZOO,QGH16-04259/12875,Skin,NA,NA,NA,NA,P2 1 cryotube,NA,NA,NA,NA,NA
A187,10/6/2021,Áteles hybridus,BCN ZOO,16879/2354,Skin,"Dissection, in culture",AlfaMEM/FBM,Armida,fibros 18/10,P2 1 cryotube,NA,NA,NA,NA,NA
A187,10/6/2021,Áteles hybridus,BCN ZOO,16879/2354,Skin,NA,NA,NA,NA,P2 1 cryotube,NA,NA,NA,NA,NA
A188,10/6/2021,Calotriton arnoldi,BCN ZOO,16879/2354,Larva,"Dissection, freeze",NA,Armida,NA,NA,NA,NA,NA,NA,NA
A189,10/14/2021,Pan troglodytes,Rio Safari Elche,QVG16-00019,Skin biopsy/ EDTA blood/Serum,"Dissection, in culture",AlfaMEM/FBM,Armida/Isa,fibros,P1  1 cryotuve,NA,NA,NA,NA,NA
A190,10/14/2021,Pan troglodytes,Rio Safari Elche,QVG16-00023,Skin biopsy/ EDTA blood/Serum,"Dissection, in culture",AlfaMEM/FBM,Armida/Isa,fibros,NA,NA,NA,NA,NA,NA
A191,10/14/2021,Pan troglodytes,Rio Safari Elche,QVG16-00022,Skin biopsy/ EDTA blood/Serum,"Dissection, in culture",AlfaMEM/FBM,Armida/Isa,fibros,NA,NA,NA,NA,NA,NA
A192,10/14/2021,Pan troglodytes,Rio Safari Elche,QVG16-00018,Skin biopsy/ EDTA blood/Serum,"Dissection, in culture",AlfaMEM/FBM,Armida/Isa,fibros,NA,NA,NA,NA,NA,NA
A194,10/19/2021,Lyle's flying fox,BCN ZOO,1.80E+07,Skin biopsy (ear/ skin?),"Dissection, in culture/freeze","DMEM/F12, 15%FBS",Sira,3CT (2 fragments each one),NA,NA,NA,NA,NA,NA
A194,10/19/2021,Lyle's flying fox,BCN ZOO,1.80E+07,ear,NA,NA,NA,fibros 5 days / CT p0,NA,NA,NA,NA,NA,NA
A194,10/19/2021,Lyle's flying fox,BCN ZOO,1.80E+07,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A195,10/20/2021,Suricata Suricatta,ZOO Madrid,MIG12-28842317,Skin biopsy(trachea/ skin),"Dissection, in culture/freeze",AlfaMEM/FBM,Sira/Isa,3CT (3fragments each one),NA,NA,NA,NA,NA,NA
A195,10/20/2021,Suricata Suricatta,ZOO Madrid,MIG12-28842317,Trachea,NA,NA,NA,"fibros 5 days / CT p0, p1, p2",NA,NA,NA,NA,NA,NA
A195,10/20/2021,Suricata Suricatta,ZOO Madrid,MIG12-28842317,Skin,NA,NA,NA,"Cont, discard",NA,NA,NA,NA,NA,NA
A196,10/20/2021,Patagonian Mara,ZOO Madrid,WKP21-01890,Skin biopsy (ear/ingle),"Dissection, in culture/freeze",AlfaMEM/FBM,Isa,3CT (3 fragments each one),NA,NA,NA,NA,NA,NA
A197,10/22/2021,Panthera Leo,BCN ZOO,26130694 BARCELONA / 8939,Skin,"Dissection, in culture/freeze",NA,Armida,fibros day 6,P0  1 Cryotube,NA,NA,NA,NA,NA
A197,10/22/2021,Panthera Leo,BCN ZOO,26130694 BARCELONA / 8939,Skin,3 CT with 5 pieces each,NA,NA,NA,P1  1 cryotube,NA,NA,NA,NA,NA
A198,10/22/2021,Cercocebus Torquatus? ES lunulatus,BCN ZOO,MIG12-29917992/ BARCELONA / 10539,Skin,"Dissection, in culture",NA,Armida,Cont. No sample left,NA,NA,NA,NA,NA,NA
A199,10/22/2021,Netta Rufina,Zoologico Jerez de la Frontera,PC028,Skin,"Dissection, in culture",AlfaMEM/FBM,Isa,@fibros day 5,NA,NA,NA,NA,NA,NA
A199,10/22/2021,Netta Rufina,Zoologico Jerez de la Frontera,PC028,Skin,NA,NA,NA,Expanding p0,NA,NA,NA,NA,NA,NA
A200,10/22/2021,Pinna Nobilis,BCN ZOO,PC028,whole specimen?,"Dissection, in culture /freeze",AlfaMEM/FBM,Sira,Culture sample 1,439,NA,NA,NA,NA,NA
A200,10/22/2021,Pinna Nobilis,BCN ZOO,PC028,whole specimen?,NA,NA,NA,"Sample 3 (5 CT, 2 PART1 and 3 PART2)",NA,NA,NA,NA,NA,NA
A200,10/22/2021,Pinna Nobilis,BCN ZOO,PC028,whole specimen?,NA,NA,NA,Sampe  2 (2CT),NA,NA,NA,NA,NA,NA
A200,10/22/2021,Pinna Nobilis,BCN ZOO,PC028,NA,NA,NA,NA,No fibros,NA,NA,NA,NA,NA,NA
A201,10/29/2021,Addax,Parque de la Naturaleza Caberceno,PC028,Blood,4 cryotubes PBMc,NA,NA,NA,NA,NA,NA,NA,NA,NA
A202,10/29/2021,Gorilla gorilla,Parque de la Naturaleza Caberceno,PC028,Blood,4 cryotubes PBMc,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A202,10/29/2021,Gorilla gorilla,Parque de la Naturaleza Caberceno,PC028,Hair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A203,10/30/2021,Pleurodeles walt,CSIC,PC028,larvas,1CT,NA,Armida,NA,NA,NA,NA,NA,NA,NA
A204,11/4/2021,Connochaetes gnou,ZOO Madrid,MIG12-29654178,ear/ skin,3 cryotubes,AlfaMEM/FBM,Armida,fibros 9/11,NA,NA,NA,NA,NA,NA
A205,11/5/2021,Panthera pardus kotiya,BCN ZOO,2.78E+07,skin,"Dissection, in culture",AlfaMEM/FBM,Sira,fibros 11/11,NA,NA,NA,NA,NA,NA
A206,11/5/2021,Cercocebus lunulatus,BCN ZOO,QGH16-04193,skin,"Dissection, in culture",AlfaMEM/FBM,Sira,fibros 9/11,(two samples same specimen A102),NA,NA,NA,NA,NA
A207,11/5/2021,Nanger dama mhorr,BCN ZOO,QGH20-05342/13650,skin,"Dissection, in culture",AlfaMEM,Sira,fibros,(two samples same specimen),NA,NA,NA,NA,NA
A208,11/5/2021,Rangifer tarandus,ZOO Madrid,MIG12-29480586,ear/skin/ovaries,"Dissection, in culture /freeze",AlfaMEM,Sira,*CT biopsias pone 218,NA,NA,NA,NA,NA,NA
A209,11/9/2021,Pandion haliaetus,Zoologico Jerez de la Frontera,PES5,skin,"Dissection, in culture",AlfaMEM,Sira,Cont.,NA,NA,NA,NA,NA,NA
A210,11/9/2021,Scolopax rusticola,Zoologico Jerez de la Frontera,CRAS 509/21,skin,"Dissection, in culture",AlfaMEM,Sira,Cont.,NA,NA,NA,NA,NA,NA
A211,11/9/2021,Erinaceus europaeus,Zoologico Jerez de la Frontera,ERIZO1,skin,"Dissection, in culture",AlfaMEM,Sira,Cont.,NA,NA,NA,NA,NA,NA
A212,11/9/2021,Turdus philomelos,Zoologico Jerez de la Frontera,CRAS 504/21,skin,"Dissection, in culture",AlfaMEM,Sira,Cont.,NA,NA,NA,NA,NA,NA
A213,11/9/2021,Chamaeleo chamaeleon,Zoologico Jerez de la Frontera,CRAS 504/21,skin/tail/eyes,"Dissection, in culture",DMEM,Sira,@ add ITS 100x,NA,NA,NA,NA,NA,NA
A214,11/15/2021,Ateles hybrydus (mono araña),BCN zoo,121663/QGH16-02496,skin,"Dissection, in culture",aMEM,Isa,No fibros.,NA,NA,NA,NA,NA,NA
A215,11/17/2021,Gacela Mhorr,BCN zoo,13640/ZIMS?,skin,"Dissection, in culture",aMEM,Isa,@fibros d9,NA,NA,NA,NA,NA,NA
A216,11/17/2021,Gacela Mhorr,BCN zoo,13650/QGH20-05342,skin,"Dissection, in culture",aMEM,Isa,@fibros d9,(two samples same specimen),NA,NA,NA,NA,NA
A217,11/18/2021,Jaguar Lola (Panthera onca),BCN zoo,RMC17-00248,skin,"Dissection, in culture",aMEM 1 well,Isa,No fibros,(two samples same specimen),NA,NA,NA,NA,NA
A218,11/5/2021,Rangifer tarandus,ZOO Madrid,MIG12-29480586,ear/skin/ovaries,"Dissection, in culture /freeze",AlfaMEM,Sira,*CT biopsias pone 218 pero es la muestra 208,NA,NA,NA,NA,NA,NA
A219,11/26/2021,White-napped Mangabey,BCN Zoo,QGH16-04243,small skin biopsy,"Dissection, in culture",AlfaMEM:FBM,Isa,@fibros d10,(two samples same specimen/A92),NA,NA,NA,NA,NA
A220,12/1/2021,Tritó del montseny,Salvis,QGH16-04243,skin/leg/tongue/tail,"Dissection, in culture","@FBM, DMEM/F12, L15",Isa,NA,NA,NA,NA,NA,NA,NA
A221,12/1/2021,Sitatunga,Zoo Madrid,QGH16-04243,cordón umbilical,"Dissection, in culture",@fibros d6,Isa,NA,NA,NA,NA,NA,NA,NA
A222,12/1/2021,hyena,BCN zoo,MIG12-29918001,skin,"Dissection, in culture",@fibros d6,Isa,NA,NA,NA,NA,NA,NA,NA
A223,12/3/2021,Salmo salar,Acuario de Gijon,MIG12-29918001,skin,"Dissection, in culture","DMEM/F12,L15",Sira,Cont.,NA,NA,NA,NA,NA,NA
A224,12/3/2021,Syngnathus acus (hembra),Acuario de Gijon,MIG12-29918001,skin,"Dissection, in culture","DMEM/F12,L15",Sira,Cont.,NA,NA,NA,NA,NA,NA
A225,12/3/2021,Scyliorhinus stellaris (macho),Acuario de Gijon,MIG12-29918001,skin,"Dissection, in culture","DMEM/F12,L15",Sira,Cont.,NA,NA,NA,NA,NA,NA
A226,12/14/2021,Chimpancé,BCN zoo,MIG12-30088854/4368,skin,"Dissection, in culture",fibros,Isa,Fibros 2CT p0   1CT p1,NA,NA,NA,NA,NA,NA
A227,12/10/2021,Gacela dorcas osiris,BCN zoo,WKP15-00424/AP21-00223,ear,"Dissection, in culture",@fibros d4,Isa,NA,NA,NA,NA,NA,NA,NA
A228,12/10/2021,Gacela dorcas osiris,BCN zoo,MIG12-29435073/AP21-00224,ear,"Dissection, in culture",@cont. fungi,Isa,NA,NA,NA,NA,NA,NA,NA
A229,12/10/2021,Nycoticorax,BCN zoo,QGH18-04841,tendons,"Dissection, in culture",fibros,Isa,NA,NA,NA,NA,NA,NA,NA
A230,12/10/2021,Ibis sagrado,Zoo Madrid,2.79E+07,piel y traquea,"Dissection, in culture",@fibros d4 traquea,Isa,NA,NA,NA,NA,NA,NA,NA
A231,12/10/2021,flamenco (Phoenicopterus ruber),Zoo Madrid,2.79E+07,piel y traquea,"Dissection, in culture",@tejido no fresco,Isa,NA,NA,NA,NA,NA,NA,NA
A232,12/10/2021,Tyto alba (lechuza),Zoo Madrid,2.79E+07,piel y traquea,"Dissection, in culture",@tejido no fresco,Isa,"1 CT p0, 2CT p1 and 1 CT p2",NA,NA,NA,NA,NA,NA
A232,12/10/2021,Tyto alba (lechuza),Zoo Madrid,2.79E+07,NA,1CT each,@fibros d4 traquea,NA,Cont?,NA,NA,NA,NA,NA,NA
A233,12/14/2021,Uromastyx acanthinura,BCN zoo,MIG12-29661834/11362,skin,"Dissection, in culture",@DMEM+20%FBS,Isa,Cont. No sample left,NA,NA,NA,NA,NA,NA
A233,12/14/2021,Uromastyx acanthinura,BCN zoo,MIG12-29661834/11362,NA,"(no CT, small biopsy)",fibros d11,NA,NA,NA,NA,NA,NA,NA,NA
A234,12/16/2021,Panda rojo,BCN zoo,QGH13-01156/11932,NA,"(no CT, small biopsy)",fibros d5,NA,NA,NA,NA,NA,NA,NA,NA
A235,12/16/2021,Eudocimus ruber,BCN zoo,MIG12-28706350,skin,"Dissection, in culture",fibros d5,Isa,NA,NA,NA,NA,NA,NA,NA
A236,12/16/2021,Otario de patagonia,Zoo Madrid,MIG12-29480708/Z / LMA38,ear + skin,"Dissection, in culture",fibros d5,Isa,NA,NA,NA,NA,NA,NA,NA
A237,12/17/2021,Chimpancé,BCN zoo,MIG12-29480708/Z / LMA38,frotis nasal + gengival + skin biopsy,"in culture, no CT",@nasal: DMEM10%FBS (on gel),Isa,Cont fungi! Trash,NA,NA,NA,NA,NA,NA
A237,12/17/2021,Chimpancé,BCN zoo,MIG12-29480708/Z / LMA38,NA,NA,@bucal: FBM,NA,NA,NA,NA,NA,NA,NA,NA
A237,12/17/2021,Chimpancé,BCN zoo,MIG12-29480708/Z / LMA38,NA,NA,@biopsy: aMEM,NA,NA,NA,NA,NA,NA,NA,NA
A237,12/17/2021,Chimpancé,BCN zoo,MIG12-29480708/Z / LMA38,NA,NA,Fibros p0,silvia,2 vials P0 fibros stored,NA,NA,NA,NA,NA,NA
A238,12/23/2021,Panthera leo,BCN zoo,27181719/8940,ear,"in culture, 2CT",@tissue sent dry (no media),Isa,NA,NA,NA,NA,NA,NA,NA
A238,12/23/2021,Panthera leo,BCN zoo,27181719/8940,ear,NA,fibros day 5,NA,NA,NA,NA,NA,NA,NA,NA
A239,12/23/2021,Axis Axis,BCN zoo,QGH14-02142,ear,"in culture, 2CT",@tissue sent dry (no media),Isa,NA,NA,NA,NA,NA,NA,NA
A239,12/23/2021,Axis Axis,BCN zoo,QGH14-02142,ear,NA,fibros day 5,NA,NA,NA,NA,NA,NA,NA,NA
A240,12/24/2021,Tiburón,Zoo Madrid,Gynglimostoma cirratum/Female,skin + utero,"in culture, 3CT each",@coating with gelatin,Isa,Fibros skin LDF,NA,NA,NA,NA,NA,NA
A241,12/30/2021,Cercocebus lunulatus,Jerez,4858688/JEREZ / MC2,skin,"in culture, 1CT",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A242,12/30/2021,Uromastyx acantiuia,BCN zoo,QGH20-05511/13788,traquea,"in culture, 2CT",@DMEM+20%FBS,Isa,Cont.,NA,NA,NA,NA,NA,NA
A243,12/30/2021,Colius striatus,BCN zoo,QGH21-05850,traquea,"in culture, 2CT",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A244,1/10/2022,heosemys spinosa,BCN zoo,6169827/7683,traquea,"in culture, 1CT",@sample from 05.01,Isa,Cont.,NA,NA,NA,NA,NA,NA
A245,1/10/2022,oryx hembra,BCN zoo,QGH20-05339/13648,skin,"small biopsy, no CT",@sample from 05.01,Isa,Fibros,NA,NA,NA,NA,NA,NA
A246,1/10/2022,oryx,BCN zoo,QGH20-05394/13692,skin,"small biopsy, no CT",@sample from 05.01,Isa,NA,NA,NA,NA,NA,NA,NA
A247,1/10/2022,"phachoeros africanus ""pumba""",BCN zoo,MIG12-28621074/11036,ear,"in culture, 4CT",@sample from 07.01,Isa,Fibros starting 17/1,NA,NA,NA,NA,NA,NA
A248,1/10/2022,guaraba guarouba,BCN zoo,MIG12-28325141,traquea,"in culture, 2CT",@sample from 07.01,Isa,Fibros starting 17/1,NA,NA,NA,NA,NA,NA
A249,1/11/2022,Tiburon bambú,Zoo Madrid,MIG12-28325141,skin and uterus,"in culture, 2CT each",NA,NA,Death Date:6/1 Sample collection Date:10/1,NA,NA,NA,NA,NA,NA
A250,1/11/2022,Aguila calva (Haliaeetus leucocephalus),Zoo Madrid,2.79E+07,skin and traquea,"in culture, 1CT each",@sample from 05.01,Isa,Fibros skin+traquea,NA,NA,NA,NA,NA,NA
A250,1/11/2022,Aguila calva (Haliaeetus leucocephalus),Zoo Madrid,2.79E+07,skin and traquea,NA,@gelatin coating. 2 conditions: LDF and DMEM,NA,NA,NA,NA,NA,NA,NA,NA
A251,1/11/2022,Plegadus falcinellus,BCN zoo,2.53E+07,traquea,"in culture, 2CT",NA,Isa,Fribros,NA,NA,NA,NA,NA,NA
A251,1/11/2022,Plegadus falcinellus,BCN zoo,2.53E+07,traquea,NA,NA,NA,Cong 2 cryotubos P1,NA,NA,NA,NA,NA,NA
A252,1/13/2022,Tiburon ocelado,Zoo Madrid,2.53E+07,skin and uterus,"in culture, 2CT skin, 1 CT uterus",@gelatin coating. 2 conditions: LDF and DMEM,Isa,Cont.,NA,NA,NA,NA,NA,NA
A253,1/17/2022,Ptilinopus melanospilus,BCN zoo,MIG12-28149323,traquea,"in culture, 2CT",NA,Isa,Fibros,NA,NA,NA,NA,NA,NA
A254,1/17/2022,Geronticus eremita,BCN zoo,ZDW17-03177/13500,traquea,"in culture, 1CT",NA,Isa,Fibros,NA,NA,NA,NA,NA,NA
A255,1/17/2022,Zenaida graysoni,BCN zoo,DMP17-00807/13762,traquea,"in culture, 2CT",NA,Isa,Re- try samples (SILVIA),NA,NA,NA,NA,NA,NA
A256,1/20/2022,Caroba,Jerez,CRAS 03/22,skin+traquea,"in culture, 1CT each",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A256,1/20/2022,Strix aluco,Jerez,CRAS 03/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A257,1/20/2022,Eurypyga helias,BCN zoo,TPC14-02438/12461,traquea,"in culture, 2CT",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A258,1/20/2022,suricatta suricatta,BCN zoo,AP22-00022,skin,"in culture, 2CT",Fibros,Isa,NA,NA,NA,NA,NA,NA,NA
A259,1/20/2022,suricatta suricatta,BCN zoo,AP22-00023,skin,"in culture, 2CT",Fibros,Isa,NA,NA,NA,NA,NA,NA,NA
A260,1/24/2022,Equus uagga,BCN zoo,QGH16-04272/BARCELONA / 12887,skin,"in culture, no CT",Fibros,Isa,NA,NA,NA,NA,NA,NA,NA
A261,1/24/2022,Musophaga Violacea,BCN zoo,NGK18-00247/BARCELONA / 13586,traquea,"in culture, 2CT",Cont. Trash,Isa,NA,NA,NA,NA,NA,NA,NA
A262,1/31/2022,Capra Hircus,BCN zoo,QGH22-05906-IA,skin,"in culture, 2CT",@sample from 28.01,Isa,NA,NA,NA,NA,NA,NA,NA
A262,1/31/2022,Capra Hircus,BCN zoo,QGH22-05906-IA,NA,NA,Fibros,NA,NA,NA,NA,NA,NA,NA,NA
A263,1/31/2022,Platalea leucorodia,BCN zoo,MIG12-28179109/BARCELONA7847,traquea,"in culture, 2CT",DMEM20% + fgf2 40 ng/ml,Isa,si,1 P0 3 P1 1 P2,si,Crescen lentos,NA,NA,NA
A264,2/3/2022,Paleosunchus palpebrosus,BCN zoo,MIG12-29661824/BARCELONA / 11356,traquea,"in culture, 2CT",@DMEM-20%FBS,Isa,NO SUCCESS,NA,NA,NA,NA,NA,NA
A265,2/3/2022,Eulemur fulvus mayottensis,Zoo Madrid,27921801/MADRID Z / LM11,skin,"in culture, 2CT",alphamem complete,Isa,si,"2 P0, 2 P1 and 2 P2",NA,NA,NA,NA,NA
A266,2/8/2022,Gallicolumba luzonica,BCN zoo,15949977/11634,traquea,"in culture, 2CT",Cont.,Isa,NA,NA,NA,NA,NA,NA,NA
A267,2/10/2022,Panthera tigris sumatrae,BCN zoo,24000056/24000056,skin,"in culture, small biopsy (no CT)",NA,Isa,NA,NA,NA,NA,NA,NA,NA
A268,2/11/2021,Varanus parsinus,BCN zoo,BHG15-00445/BARCELONA / 12643,traquea,"in culture, 2CT",FBM + fgf2 40 ng/ml,Isa,SI,Split but they do not attached,"Tirato  split p0, porque los fibros no crecian ni en matrigel",NA,NA,NA,NA
A269,2/11/2021,Macropus rufogriseus,BCN zoo,QGH15-02472/BARCELONA / 12639,ear,"in culture, 2CT",alphamem complete,Isa,si,"2 P0, 2 P1 and 2 P2",NA,NA,NA,NA,NA
A270,2/16/2022,Capra hircus rasquera,BCN zoo,QGH22-05914/BARCELONA / 13989,ear,"in culture, 2CT",alphamem complete,Isa,si,"2 P0, 2 P1 2P2",NA,NA,NA,NA,NA
A271,2/16/2022,Ciervo de Padre David,BCN zoo,23574543/ BARCELONA / 255,ear,"in culture, 2CT",alphamem complete,Isa,si,"2 P0, 1 P1 2 P2",si,NA,NA,NA,NA
A272,2/18/2022,Talapoin,BCN zoo,YRV19-03423/13504/BARCELONA,skin,"in culture, 2CT",alphamem,silvia,Re- try samples (SILVIA),2P0 1P1,si,NA,NA,NA,NA
A272,2/18/2022,Talapoin,BCN zoo,YRV19-03423/13504/BARCELONA,ear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A273,2/18/2022,Loris arcoiris,ZOO de Madrid,WKP17-01371/ MADRID Z / LOR64,NA,"in culture, 2CT",FBM + 20 ng/ml fgf2,Isa,no,tirado,NA,NA,NA,NA,NA
A273,2/18/2022,Loris arcoiris,ZOO de Madrid,WKP17-01371/ MADRID Z / LOR64,NA,NA,NA,NA,no crescen,NA,NA,NA,NA,NA,NA
