"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","c_value","genome_size","genome_size_draft","contig_n50","gene_count","assembly_date","assembly_level","assembly_span","scaffold_n50","busco_completeness","chromosome_number","haploid_number","ploidy","sequencing_status","published","TOGA","common_name","genome_match","species_genome","divergence_mya_adj","taxon_id_ref","status","precomputed_age","adjusted_age","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","fibro2","to_process","order2","selected"
"Pavo cristatus","Pavo cristatus",NA,NA,"III","LEAST CONCERN",3,"U/U/F/M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea/Skin",NA,"Pavo_cristatus","9049",NA,NA,NA,NA,NA,NA,"Pavo","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,1.33984375,1310520000,NA,30501418,NA,"2024-12-06","Chromosome",1041763075,94977930,96.3,78,39,2,"insdc_open",NA,"not_in_toga","Indian Peafowl,Indian peafowl","species","Pavo cristatus",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,4,3,3,0,0,TRUE,3,"Both",1,3,2,"Galliformes",TRUE
"Musophaga violacea","Musophaga violacea",NA,NA,NA,"LEAST CONCERN",1,"M","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Trachea",NA,"Musophaga_violacea","103959",NA,NA,NA,NA,NA,NA,"Musophaga","Musophagidae","Musophagiformes","Aves","Chordata","Metazoa",NA,1.4169921875,1391205000,NA,9274,NA,"2024-01-08","Scaffold",1255385567,72826144,NA,82,41,2,"insdc_open",NA,"toga1/2",NA,"family","Tauraco hartlaubi",8.648895,"56304","OK",8.648895,8.6489,FALSE,TRUE,TRUE,1,0,1,0,0,TRUE,3,"Both",1,1,1,"Musophagiformes",FALSE
"Tauraco schalowi","Tauraco schalowi",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Tauraco_schalowi","119419","Tauraco livingstoni schalowi;Tauraco persa schalowi;Corythaix schalowi",NA,NA,NA,NA,NA,"Tauraco","Musophagidae","Musophagiformes","Aves","Chordata","Metazoa",NA,1.4169921875,1391205000,NA,9274,NA,"2024-01-08","Scaffold",1255385567,72826144,NA,82,41,2,"insdc_open",NA,"toga1/2",NA,"genus","Tauraco hartlaubi",0.756009,"56304","OK",0.756009,0.75601,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Musophagiformes",FALSE
"Lophura edwardsi","Lophura edwardsi",NA,NA,"I","CRITICALLY ENDANGERED",1,"U","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Trachea",NA,"Lophura_edwardsi","9043","Gennaeus edwardsi",NA,NA,NA,NA,NA,"Lophura","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,1.2646484375,1237170000,NA,11027439,NA,"2023-07-05","Chromosome",1144026423,61385513,NA,50,25,2,"insdc_open",NA,"toga1/2",NA,"genus","Lophura swinhoii",2.056095,"140446","OK",2.056095,2.0561,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,3,"Both",1,1,1,"Galliformes",FALSE
"Netta peposaca","Netta peposaca",NA,NA,"-","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue (trachea)",NA,"Netta_peposaca","541013","Anas peposaca",NA,NA,NA,NA,NA,"Netta","Anatidae","Anseriformes","Aves","Chordata","Metazoa",NA,1.3798828125,1349640000,NA,15217,NA,"2025-07-20","Scaffold",1203952546,75817134,NA,82,41,2,"in_progress",NA,"toga1/2",NA,"species","Netta peposaca",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Anseriformes",FALSE
"Anas platyrhynchos","Anas platyrhynchos",NA,NA,"?","LEAST CONCERN",1,"-","Birds","Fibro",NA,"X","X","X",NA,NA,NA,NA,"Anas_platyrhynchos","8839","Anas boschas;Anas domesticus;Anas platyrhynchos f. domestica;Anas oustaleti",NA,NA,NA,NA,NA,"Anas","Anatidae","Anseriformes","Aves","Chordata","Metazoa",NA,1.4501953125,1418100000,NA,80154792,18146,"2025-02-12","Complete Genome",1157338086,80154792,97.1,80,40,2,"insdc_open",NA,"toga1","Mallard,Mallard;mallard","species","Anas platyrhynchos",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Anseriformes",FALSE
"Netta rufina","Netta rufina",NA,NA,NA,"LEAST CONCERN",1,"-","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Netta_rufina","30387","Anas rufina",NA,NA,NA,NA,NA,"Netta","Anatidae","Anseriformes","Aves","Chordata","Metazoa",NA,1.3798828125,1349640000,NA,3347974,NA,"2024-04-29","Chromosome",1166961997,77261329,96.8,82,41,2,"insdc_open",NA,"toga2","Red-crested Pochard,Red-crested pochard;Red-crested Pochard;red-crested pochard","species","Netta rufina",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Anseriformes",FALSE
"Chauna torquata","Chauna torquata",NA,NA,"-","LEAST CONCERN",1,"M","Birds","Fibro",NA,"x","x","x","x",NA,"Trachea",NA,"Chauna_torquata","30388","Chaja torquata",NA,NA,NA,NA,NA,"Chauna","Anhimidae","Anseriformes","Aves","Chordata","Metazoa",NA,1.4169921875,1364310000,NA,34825,15083,"2025-07-20","Scaffold",1287460525,81945454,90.5,80,40,2,"insdc_open",NA,"not_in_toga","Southern screamer,southern screamer","species","Chauna torquata",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Anseriformes",FALSE
"Cygnus atratus","Cygnus atratus",NA,NA,"-","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X",NA,NA,NA,NA,"Trachea/Tissue",NA,"Cygnus_atratus","8868","Anas atrata;Anas plutonia;Anser novaehollandiae;Cygnus atractus",NA,NA,NA,NA,NA,"Cygnus","Anatidae","Anseriformes","Aves","Chordata","Metazoa",NA,1.4501953125,1418100000,NA,28995010,NA,"2022-08-03","Chromosome",1124217020,84552148,97.2,80,40,2,"insdc_open",NA,"toga2","Black swan,Black swan;black swan","species","Cygnus atratus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,5,"Both",1,1,1,"Anseriformes",FALSE
"Streptopelia decaocto","Streptopelia decaocto",NA,NA,NA,"LEAST CONCERN",1,"-","Birds","Fibro","x",NA,NA,NA,NA,NA,"Tissue",NA,"Streptopelia_decaocto","177147","Columba decaocto",NA,NA,NA,NA,NA,"Streptopelia","Columbidae","Columbiformes","Aves","Chordata","Metazoa",NA,1.3203125,1290960000,NA,2425281,NA,"2024-10-04","Chromosome",1290939990,78754139,96.9,76,38,2,"insdc_open",NA,"toga2","Eurasian Collared-dove,Collared Dove;Eurasian Collared Dove;Eurasian collared-dove","species","Streptopelia decaocto",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Caloenas nicobarica","Caloenas nicobarica",NA,NA,"I","NEAR THREATENED",2,"F/M/U","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea",NA,"Caloenas_nicobarica","187106","Columba nicobarica",NA,NA,NA,NA,NA,"Caloenas","Columbidae","Columbiformes","Aves","Chordata","Metazoa",NA,1.5400390625,1506120000,NA,25101800,15520,"2024-01-26","Chromosome",1285834579,79699707,NA,80,40,2,"insdc_open",NA,"not_in_toga","Nicobar pigeon","species","Caloenas nicobarica",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Nycticorax nycticorax","Nycticorax nycticorax",NA,NA,"-","LEAST CONCERN",8,"M/U/U/M/U/F/M","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Nycticorax_nycticorax","8901","Ardea nycticorax;Ardea spec",NA,NA,NA,NA,NA,"Nycticorax","Ardeidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.349609375,1320300000,NA,73971,NA,"2022-05-16","Scaffold",1179028144,3016563,NA,64,32,2,"insdc_open",NA,"toga2","Black-crowned night heron,Black-crowned night heron;Night Heron;Black-crowned Night Heron;black-crowned night-heron","species","Nycticorax nycticorax",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,8,2,2,0,0,TRUE,6,"Both",1,2,2,"Pelecaniformes",FALSE
"Platalea leucorodia","Platalea leucorodia",NA,NA,"II","LEAST CONCERN",4,"M/M/F/M","Birds","Fibro",NA,"X",NA,"x",NA,NA,NA,NA,"Platalea_leucorodia","257867",NA,NA,NA,NA,NA,NA,"Platalea","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.25,1222500000,NA,3299000,NA,"2025-03-04","Chromosome",1345825956,94714899,97.4,68,35,2,"insdc_open",NA,"toga1/2","Eurasian spoonbill,White spoonbill;Spoonbill;Eurasian Spoonbill;Eurasian spoonbill","species","Platalea leucorodia",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,4,1,1,0,0,TRUE,6,"Both",1,1,1,"Pelecaniformes",TRUE
"Plegadis falcinellus","Plegadis falcinellus",NA,NA,"-","LEAST CONCERN",4,"M/M/-/-","Birds","Fibro",NA,"X",NA,NA,NA,NA,NA,NA,"Plegadis_falcinellus","52788","Tantalus falcinellus;Plegadis falcinellus falcinellus",NA,NA,NA,NA,NA,"Plegadis","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.25,1222500000,NA,48305,NA,"2024-12-06","Scaffold",1218421240,50846,NA,50,25,2,"insdc_open",NA,"toga1/2","Glossy Ibis","species","Plegadis falcinellus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,4,1,1,0,0,TRUE,6,"Both",1,1,1,"Pelecaniformes",FALSE
"Eudocimus ruber","Eudocimus ruber",NA,NA,"II","LEAST CONCERN",2,"M/M","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue/Trachea",NA,"Eudocimus_ruber","335483","Scolopax rubra",NA,NA,NA,NA,NA,"Eudocimus","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.25,1222500000,NA,35096,NA,"2024-08-05","Scaffold",1216035411,101016769,NA,66,33,2,"insdc_open",NA,"toga1/2",NA,"species","Eudocimus ruber",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,3,2,2,0,0,TRUE,6,"Both",1,2,2,"Pelecaniformes",TRUE
"Threskiornis aethiopicus","Threskiornis aethiopicus",NA,NA,NA,"LEAST CONCERN",1,"U","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue/Trachea",NA,"Threskiornis_aethiopicus","100858","Tantalus aethiopicus;Threskiornis aethiopica",NA,NA,NA,NA,NA,"Threskiornis","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.25,1222500000,NA,32973,NA,"2023-02-10","Scaffold",1200873515,90113662,NA,68,34,2,"insdc_open",NA,"toga1/2","Sacred ibis","species","Threskiornis aethiopicus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,1,1,"Pelecaniformes",TRUE
"Pelecanus crispus","Pelecanus crispus",NA,NA,"I","NEAR THREATENED",1,"M","Birds","Fibro",NA,"X","X","X","X",NA,"Trachea",NA,"Pelecanus_crispus","36300","Pelecanus philippensis crispus",NA,NA,NA,NA,NA,"Pelecanus","Pelecanidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,1.3203125,1290960000,NA,9666746,14504,"2023-07-18","Chromosome",1237746578,86807213,88.7,66,33,2,"insdc_open",NA,"not_in_toga","Dalmatian pelican,Dalmatian Pelican;Dalmatian pelican","species","Pelecanus crispus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,1,1,"Pelecaniformes",FALSE
"Cyanocorax yncas","Cyanocorax yncas",NA,NA,"-","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X","X",NA,NA,NA,"Trachea",NA,"Cyanocorax_yncas","114085","Corvus yncas",NA,NA,NA,NA,NA,"Cyanocorax","Corvidae","Passeriformes","Aves","Chordata","Metazoa",NA,1.271484375,1232280000,NA,13535775,NA,"2025-02-27","Contig",1185719108,13535775,NA,80,40,2,"insdc_open",NA,"toga1/2",NA,"genus","Cyanocorax yucatanicus",7.5662,"402026","OK",7.5662,0,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Copsychus malabaricus","Copsychus malabaricus",NA,NA,"II","LEAST CONCERN",3,"U/U/F","Birds","Fibro",NA,"X","X","X",NA,NA,"Trachea",NA,"Copsychus_malabaricus","1948888","Muscicapa malabarica",NA,NA,NA,NA,NA,"Copsychus","Muscicapidae","Passeriformes","Aves","Chordata","Metazoa",NA,1.3076171875,1278735000,NA,109076,16238,"2020-07-10","Scaffold",1052094435,11085488,94.8,64,32,2,"insdc_open",NA,"not_in_toga",NA,"genus","Copsychus sechellarum",8.61802,"797021","OK",8.61802,7.44026,FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Guaruba guarouba","Guaruba guarouba",NA,NA,"I","VULNERABLE",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea","Guaruba guarouba","Guaruba_guarouba","51906","Aratinga guarouba;Psittacus guarouba;? guarouba",NA,NA,NA,NA,NA,"Guaruba","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.3671875,1339860000,NA,33341676,NA,"2024-12-02","Chromosome",1366127126,109727540,72.2,70,35,2,"insdc_open",NA,"not_in_toga",NA,"species","Guaruba guarouba",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",TRUE
"Trichoglossus moluccanus","Trichoglossus moluccanus",NA,NA,NA,"LEAST CONCERN",2,"M","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Trichoglossus_moluccanus","1549204","Trichoglossus haematodus moluccanus",NA,NA,NA,NA,NA,"Trichoglossus","Psittaculidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.330078125,1300740000,NA,95614,NA,"2024-08-05","Scaffold",1192125813,72769352,NA,46,23,2,"insdc_open",NA,"toga2","Australian rainbow lorikeet,rainbow lorikeet","species","Trichoglossus moluccanus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,2,0,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Eclectus roratus","Eclectus roratus",NA,NA,"II","LEAST CONCERN",1,"M","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Tissue",NA,"Eclectus_roratus","176024","Electus roratus;Lorius roratus;Psittacus roratus",NA,NA,NA,NA,NA,"Eclectus","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.58984375,1555020000,NA,17249,NA,"2022-07-21","Scaffold",1120776969,28643,66.9,70,35,2,"insdc_open",NA,"not_in_toga","Eclectus parrot","species","Eclectus roratus",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus",NA,NA,"I","VULNERABLE",2,"M/M","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Trachea",NA,"Anodorhynchus_hyacinthinus","51900","Anodorhynchus hyacinthus;Anodorhynchus hyancinthus;Psittacus hyacinthinus",NA,NA,NA,NA,NA,"Anodorhynchus","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.349609375,1320300000,NA,12520,NA,"2022-07-21","Scaffold",1105970761,12605,NA,70,35,2,"insdc_open",NA,"not_in_toga","Hyacinth macaw,Hyacinth macaw;hyacinth macaw","species","Anodorhynchus hyacinthinus",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,2,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Amazona autumnalis","Amazona autumnalis",NA,NA,"II","CRITICALLY ENDANGERED",3,"M/M/F","Birds","Fibro",NA,NA,NA,NA,NA,NA,"Tissue (skin)","Amazona Lilacina","Amazona_autumnalis","151759","Psittacus autumnalis",NA,NA,NA,NA,NA,"Amazona","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.509765625,1476780000,NA,4664,NA,"2022-07-20","Scaffold",1299624158,17050,NA,68,34,2,"insdc_open",NA,"toga1/2","Lilacine Amazon,Red-lored parrot;red-lored parrot","species","Amazona autumnalis",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,4,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Agapornis nigrigenis","Agapornis nigrigenis",NA,NA,"II","VULNERABLE",6,"M/F/M/U/F/U/F","Birds","Fibro",NA,"X",NA,NA,NA,NA,NA,NA,"Agapornis_nigrigenis","60465","Agapornis nigrigensis",NA,NA,NA,NA,NA,"Agapornis","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.3095703125,1281180000,NA,66169,NA,"2024-01-03","Scaffold",1043489132,81463,NA,48,24,2,"insdc_open",NA,"toga1/2",NA,"species","Agapornis nigrigenis",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,10,2,2,0,0,TRUE,11,"Both",1,2,2,"Psittaciformes",FALSE
"Aratinga solstitialis","Aratinga solstitialis",NA,NA,"II","ENDANGERED",1,"-","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue/Trachea",NA,"Aratinga_solstitialis","176015","Aratinga solstitialis solstitialis;Psittacus solstitialis",NA,NA,NA,NA,NA,"Aratinga","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.3701171875,1339860000,NA,236229,NA,"2019-11-14","Scaffold",1169445099,16980747,NA,70,35,2,"insdc_open",NA,"toga2","Sun Parakeet,Sun parakeet;sun parakeet","species","Aratinga solstitialis",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Ara chloropterus","Ara chloropterus",NA,NA,"II","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea",NA,"Ara_chloropterus","176013","Ara chloroptera",NA,NA,NA,NA,NA,"Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.48046875,1447440000,NA,4271,NA,"2022-11-27","Scaffold",1164831351,19108,NA,68,34,2,"insdc_open",NA,"not_in_toga","Red-and-green Macaw,Green-winged macaw;Red-and-green macaw;red-and-green macaw","species","Ara chloropterus",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,1,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Ara ararauna","Ara ararauna",NA,NA,"II","LEAST CONCERN",2,"M/U","Birds","Fibro",NA,"X",NA,"x",NA,NA,"Trachea",NA,"Ara_ararauna","9226","Psittacus ararauna",NA,NA,NA,NA,NA,"Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.4501953125,1418100000,NA,38811057,NA,"2023-02-24","Chromosome",1224360198,110438430,NA,70,35,2,"insdc_open",NA,"not_in_toga","Blue-and-yellow macaw,Blue-and-yellow macaw;blue-and-yellow macaw","species","Ara ararauna",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,2,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",TRUE
"Ara rubrogenys","Ara rubrogenys",NA,NA,"I","CRITICALLY ENDANGERED",1,"F?","Birds","Fibro",NA,"X",NA,"X",NA,NA,NA,NA,"Ara_rubrogenys","467030",NA,NA,NA,NA,NA,NA,"Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.4052734375,1374090000,NA,46382249,NA,"2022-01-30","Scaffold",1161924866,46382249,NA,70,33,2,"insdc_open",NA,"not_in_toga","Red-fronted macaw,Red-fronted macaw;red-fronted macaw","species","Ara rubrogenys",1e-4,NA,NA,NA,NA,FALSE,TRUE,FALSE,2,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Eos reticulata","Eos reticulata",NA,NA,"II","NEAR THREATENED",1,"F","Birds","Fibro",NA,NA,NA,"X",NA,NA,"Trachea",NA,"Eos_reticulata","176075","Psittacus reticulatus;Eos reticulara",NA,NA,NA,NA,NA,"Eos","Psittaculidae","Psittaciformes","Aves","Chordata","Metazoa",NA,1.330078125,1300740000,NA,13006,NA,"2022-07-21","Scaffold",1091480539,25275,NA,72,32,2,"insdc_open",NA,"toga1/2",NA,"genus","Eos semilarvata",1.777655,"1549147","OK",1.777655,1.77766,FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,11,"Both",1,1,1,"Psittaciformes",FALSE
"Procavia capensis","Procavia capensis",NA,NA,NA,"LEAST CONCERN",2,"F/U","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Procavia_capensis","9813","Cavia capensis;Hyrax capensis",NA,NA,NA,NA,NA,"Procavia","Procaviidae","Hyracoidea","Mammalia","Chordata","Metazoa",NA,4.05859375,3970679999,NA,35792,NA,"2014-12-16","Scaffold",3602182911,905827,93.1,54,27,2,"published","ZOONOMIA","toga1","Rock hyrax,Rock hyrax;Cape rock hyrax","species","Procavia capensis",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,1,"Both",1,2,2,"Other",FALSE
"Oryctolagus cuniculus","Oryctolagus cuniculus",NA,NA,"-","ENDANGERED",1,"-","Mammalia","Fibro",NA,NA,NA,"x","x",NA,"Tissue",NA,"Oryctolagus_cuniculus","9986","Lepus cuniculus;Oryctogalus fodiens;Oryctolagus cnossius;Oryctolagus cuniculus borkumensis",NA,NA,NA,NA,NA,"Oryctolagus","Leporidae","Lagomorpha","Mammalia","Chordata","Metazoa",NA,3.259765625,3188280000,NA,2030165,NA,"2024-08-31","Chromosome",2804657419,144279705,94.7,44,22,2,"insdc_open",NA,"toga2","European rabbit,Rabbit;rabbit","species","Oryctolagus cuniculus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,2,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Oryctolagus cuniculus ibicea","Oryctolagus cuniculus","ibicea",NA,"-","NA",1,"F","Mammalia","Fibro",NA,"X","X",NA,"X",NA,"Tissue","Ibicean Rabbit","Oryctolagus_cuniculus","9986","Lepus cuniculus;Oryctogalus fodiens;Oryctolagus cnossius;Oryctolagus cuniculus borkumensis",NA,NA,NA,NA,NA,"Oryctolagus","Leporidae","Lagomorpha","Mammalia","Chordata","Metazoa",NA,3.259765625,3188280000,NA,2030165,NA,"2024-08-31","Chromosome",2804657419,144279705,94.7,44,22,2,"insdc_open",NA,"toga2","Rabbit;rabbit","species","Oryctolagus cuniculus",1e-4,NA,NA,NA,NA,TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,1,1,"Other",FALSE
"Notamacropus rufogriseus","Notamacropus rufogriseus",NA,NA,"-","LEAST CONCERN",9,"M/M/M/F/U/M/F/F/M/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Notamacropus_rufogriseus","1960652","Kangurus rufogriseus;Macropus rufogriseus",NA,NA,NA,NA,NA,"Notamacropus","Macropodidae","Diprotodontia","Mammalia","Chordata","Metazoa",NA,4.46875,4371659999,NA,938,NA,"2021-01-28","Contig",1394447,938,NA,16,8,2,"insdc_open",NA,"toga1/2",NA,"species","Notamacropus rufogriseus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,10,7,7,0,0,TRUE,3,"Both",1,7,2,"Diprotodontia",TRUE
"Petrogale xanthopus","Petrogale xanthopus",NA,"Macropodinae","-","NEAR THREATENED",2,"M/?","Mammalia","Fibro","X","X","x",NA,NA,NA,"Tissue",NA,"Petrogale_xanthopus","9325",NA,NA,NA,NA,NA,NA,"Petrogale","Macropodidae","Diprotodontia","Mammalia","Chordata","Metazoa",NA,4.05859375,3970680000,NA,1261,NA,"2021-01-28","Contig",2387784,1261,NA,16,8,2,"insdc_open",NA,"toga1/2",NA,"species","Petrogale xanthopus",1e-4,NA,NA,NA,NA,FALSE,TRUE,TRUE,2,2,2,0,0,TRUE,3,"Both",1,2,2,"Diprotodontia",FALSE
