"x1","scientific_name","species","subspecies","common_name","family","zims_species360","origin","sex","cell_type","type1","type2","type3","type4","karyotype","sample_id","line1","line2","line3","cell_barcode","cnag_id","x13","iucn","superclass","data","status","iPSC"
"21.0","Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","QGH22-06035/BARCELONA/14079",NA,NA,"Fibro",NA,NA,NA,NA,NA,"A326","A326",NA,NA,"*A326*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"21.0","Nycticorax nycticorax","Nycticorax nycticorax",NA,"Black-crowned night heron","Ardeida","SM3",NA,NA,"Fibro",NA,NA,NA,NA,NA,"A125","A125",NA,NA,"*A125*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"22.0","Ciconia ciconia","Ciconia ciconia",NA,"White stork","Ciconiformes","CRAS 78/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A126","A126",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22697691/86248677",FALSE,FALSE
"22.0","Ciconia ciconia","Ciconia ciconia",NA,"White stork","Ciconiformes","CRAS 21/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A80","A80",NA,NA,NA,NA,NA,"LC","Birds","https://www.gbif.org/species/2481912",FALSE,FALSE
"22.0","Ciconia ciconia","Ciconia ciconia",NA,"White stork","Ciconiformes","CRAS 47/21",NA,NA,"Fibro","DNA","K",NA,NA,"Ciconia ciconia A101","A101","A101",NA,NA,"*A101*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"23.0","Platalea leucorodia","Platalea leucorodia",NA,"Eurasian spoonbill","Threskiornithidae","QGH16-02512","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A93","A93",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22697555/155460986",FALSE,FALSE
"23.0","Platalea leucorodia","Platalea leucorodia",NA,"Eurasian spoonbill","Threskiornithidae","MIG-28179109/BARCELONA7847","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A263","A263",NA,NA,"*A263*",NA,NA,"LC","Birds","https://www.gbif.org/species/2480801",TRUE,FALSE
"24.0","Platalea ajaja","Platalea ajaja",NA,"Roseate spoonbill","Threskiornithid","MIG12-29661875/BARCELONA / 10746","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A316","A316",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22697574/93621961",FALSE,FALSE
"25.0","Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","CRAS 67/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A119","A119",NA,NA,"*A119*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22697422/155528413",FALSE,FALSE
"25.0","Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","2.5328829E7","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A251","A251",NA,NA,NA,NA,NA,"LC","Birds","https://species.nbnatlas.org/species/NBNSYS0000000254#sequences",TRUE,FALSE
"25.0","Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","42/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A114","A114",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"25.0","Plegadis falcinellus","Plegadis falcinellus",NA,"Glossy Ibis","Threskiornithidae","MIG12-28824985/ BARCELONA / 5327","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A389","A389",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"26.0","Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","SN1",NA,NA,"Primary",NA,NA,NA,NA,NA,"A131","A131",NA,NA,NA,NA,NA,"EN","Birds",NA,FALSE,FALSE
"26.0","Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","VVM20-02434/JEREZ / IE2023","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A86","A86",NA,NA,NA,NA,NA,"EN","Birds","https://www.iucnredlist.org/species/22697488/130895601",FALSE,FALSE
"26.0","Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","FRW20-01048/JEREZ / IE2014","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A69","A69",NA,NA,NA,NA,NA,"EN","Birds","https://animaldiversity.org/accounts/Geronticus_eremita/",FALSE,FALSE
"26.0","Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","FRW20-01045/JEREZ / IE2011","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A68","A68",NA,NA,NA,NA,NA,"EN","Birds",NA,FALSE,FALSE
"26.0","Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","ZDW17-03177/BARCELONA / 13500","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A254","A254",NA,NA,"*A254*",NA,NA,"EN","Birds",NA,FALSE,FALSE
"26.0","Geronticus eremita","Geronticus eremita",NA,"Waldrapp ibis","Threskiornithidae","QGH23-06354/BARCELONA / 14289","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A466","A466",NA,NA,NA,NA,NA,"EN","Birds",NA,TRUE,FALSE
"27.0","Eudocimus ruber","Eudocimus ruber",NA,"Scarlet Ibis","Threskiornithidae",NA,"CAPTIVE",NA,"Fibro",NA,NA,NA,NA,NA,"A519","A519",NA,NA,NA,NA,NA,"LC","Birds",NA,TRUE,FALSE
"27.0","Eudocimus ruber","Eudocimus ruber",NA,"Scarlet Ibis","Threskiornithidae","MIG12-28706350","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A235","A235",NA,NA,"*A235*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"27.0","Eudocimus ruber","Eudocimus ruber",NA,"Scarlet Ibis","Threskiornithidae","MIG12-28706348/BARCELONA / 11080","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A438","A438",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"28.0","Threskiornis aethiopicus","Threskiornis aethiopicus",NA,"Sacred ibis","Threskiornithidae","27920372/MADRID Z / IS48","UNKNOWN","U","Fibro",NA,NA,NA,NA,NA,"A230","A230",NA,NA,"*A230*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22697510/132068562",TRUE,FALSE
"29.0","Butorides striata","Butorides striata",NA,"Striated heron","Ardeidae","QGH17-04483","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A107","A107",NA,NA,"*A107*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"29.0","Butorides striata","Butorides striata",NA,"Striated heron","Ardeidae","QGH12-00159/BARCELONA / 11588","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22728182/94973442",FALSE,FALSE
"30.0","Ixobrychus minutus","Ixobrychus minutus",NA,"Little bittern","Ardeidae","VKM13-00879/BARCELONA / 12860","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A385","A385",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22735766/155511258",FALSE,FALSE
"31.0","Gallinula chloropus","Gallinula chloropus",NA,"Common Moorhen","Rallidae","CRAS 56/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A106","A106",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/62120190/155506651",FALSE,FALSE
"31.0","Gallinula chloropus","Gallinula chloropus",NA,"Common Moorhen","Rallidae","CRAS 25/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A89","A89",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"32.0","Balearica pavonina","Balearica pavonina",NA,"Black Crowned Crane","Gruidae","QGH20-05471","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU","Birds","https://www.gbif.org/species/5228232",FALSE,FALSE
"33.0","Psophia crepitans","Psophia crepitans",NA,"Grey-winged Trumpeter","Gruiformes","FRW15-00565","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A100","A100",NA,NA,NA,NA,NA,"NT","Birds","https://www.iucnredlist.org/species/45478181/95158441",FALSE,FALSE
"34.0","Marmaronetta angustirostris","Marmaronetta angustirostris",NA,"Marbled Teal","Anatidae","2.495321E7","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A87","A87",NA,NA,NA,NA,NA,"VU","Birds","https://www.gbif.org/species/2498390",FALSE,FALSE
"35.0","Netta peposaca","Netta peposaca",NA,"Rosy-billed Pochard","Anatidae","2.7919208E7","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A104","A104",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22680351/92856953",FALSE,FALSE
"36.0","Anas platyrhynchos","Anas platyrhynchos",NA,"Mallard","Anatidae","EC 11/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A112","A112",NA,NA,NA,NA,NA,"LC","Birds","https://www.gbif.org/species/9761484",FALSE,FALSE
"37.0","Netta rufina","Netta rufina",NA,"Red-crested Pochard","Anatidae","PC028",NA,NA,"Fibro",NA,NA,NA,NA,NA,"A199","A199",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22680348/86012189",TRUE,FALSE
"38.0","Chauna torquata","Chauna torquata",NA,"Southern screamer","Anhimidae","MIG12-28179183","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A302","A302",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22679729/92826769",TRUE,FALSE
"39.0","Cygnus atratus","Cygnus atratus",NA,"Black swan","Anatidae","2.7919208E7","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A317","A317",NA,NA,"*A317*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22679843/131907524",TRUE,FALSE
"40.0","Cygnus melancoryphus","Cygnus melancoryphus",NA,"Black-necked swan","Anatidae",NA,"CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A503","A503",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22679846/92832118",TRUE,FALSE
"40.0","Cygnus melancoryphus","Cygnus melancoryphus",NA,"Black-necked swan","Anatidae","MIG12-29016900/ BARCELONA / 11108",NA,NA,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"41.0","Apus pallidus","Apus pallidus",NA,"Pallid Swift","Apodidae","CRAS 58/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A113","A113",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22686815/155463151",FALSE,FALSE
"41.0","Apus pallidus","Apus pallidus",NA,"Pallid Swift","Apodidae","CRAS 365/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A180","A180",NA,NA,NA,NA,NA,"LC","Birds","https://www.gbif.org/species/5228695",FALSE,FALSE
"41.0","Apus pallidus","Apus pallidus",NA,"Pallid Swift","Apodidae","CRAS 45/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A99","A99",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"42.0","Apus apus","Apus apus",NA,"Common swift","Apodidae","55/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A111","A111",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22686800/86111691",FALSE,FALSE
"43.0","Streptopelia decaocto","Streptopelia decaocto",NA,"Eurasian Collared-dove","Columbidae","CRAS 65/21",NA,NA,"Fibro","K",NA,NA,NA,"Streptopelia decaocto A118","A118","A118",NA,NA,"*A118*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22727811/154457750",TRUE,FALSE
"44.0","Columba livia","Columba livia",NA,"Rock Dove","Columbidae","CRAS 68/21",NA,NA,"Primary",NA,NA,NA,NA,NA,"A120","A120",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22690066/155493121",FALSE,FALSE
"45.0","Columba palumbus","Columba palumbus",NA,"Common Woodpigeon","Columbidae","SM4",NA,NA,"Primary",NA,NA,NA,NA,NA,"A123","A123",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22690103/131924602",FALSE,FALSE
"46.0","Ptilinopus melanospilus","Ptilinopus melanospilus",NA,"Black-naped Fruit-dove","Columbidae","MIG12-28149323","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A253","A253",NA,NA,"*A253*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22691558/93316491",TRUE,FALSE
"47.0","Zenaida graysoni","Zenaida graysoni",NA,"Socorro dove","Columbidae","DMP17-00807","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A255","A255",NA,NA,"*A255*",NA,NA,"EW","Birds","https://www.iucnredlist.org/species/22690740/178409463",TRUE,FALSE
"48.0","Gallicolumba luzonica","Gallicolumba luzonica",NA,"Luzon bleeding-heart dove","Columbidae","1.5949977E7","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A266","A266",NA,NA,NA,NA,NA,"NT","Birds","https://www.iucnredlist.org/species/22690979/93297883",FALSE,FALSE
"48.0","Gallicolumba luzonica","Gallicolumba luzonica",NA,"Luzon bleeding-heart dove","Columbidae","QGH20-05524/ BARCELONA / 13798",NA,NA,"Primary",NA,NA,NA,NA,NA,"A406","A406",NA,NA,NA,NA,NA,"NT","Birds",NA,FALSE,FALSE
"48.0","Gallicolumba luzonica","Gallicolumba luzonica",NA,"Luzon bleeding-heart dove","Columbidae","VKM21-05794/VKM21-05794","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A411","A411",NA,NA,"*A411*",NA,NA,"NT","Birds",NA,TRUE,FALSE
"49.0","Caloenas nicobarica","Caloenas nicobarica",NA,"Nicobar pigeon","Columbidae","QGH15-02298","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A338","A338",NA,NA,NA,NA,NA,"NT","Birds","https://www.iucnredlist.org/species/22690974/178136167",FALSE,FALSE
"50.0","Spheniscus demersus","Spheniscus demersus",NA,"Jackass penguin","Spheniscidae","24208794/MADRID Z / PJ19","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A144","A144",NA,NA,"*A144*",NA,NA,"EN","Birds","https://www.iucnredlist.org/species/22697810/157423361",TRUE,FALSE
"50.0","Spheniscus demersus","Spheniscus demersus",NA,"Jackass penguin","Spheniscidae","WKP13-00159/MADRID Z / PJ61","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A430","A430",NA,NA,NA,NA,NA,"EN","Birds","https://www.gbif.org/species/5229384",FALSE,FALSE
"50.0","Spheniscus demersus","Spheniscus demersus",NA,"Jackass penguin","Spheniscidae","8297685/ID: MADRID Z / PJ29","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A431","A431",NA,NA,"*A431*",NA,NA,"EN","Birds","https://animaldiversity.org/accounts/Spheniscus_demersus/",TRUE,FALSE
"51.0","Spheniscus humboldti","Spheniscus humboldti",NA,"Humboldt penguin","Spheniscidae","1.9146851E7","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A299","A299",NA,NA,NA,NA,NA,"VU","Birds","https://www.iucnredlist.org/species/22697817/182714418",FALSE,FALSE
"51.0","Spheniscus humboldti","Spheniscus humboldti",NA,"Humboldt penguin","Spheniscidae","MIG12-28033500/BARCELONA / 5029","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A386","A386",NA,NA,"*A386*",NA,NA,"VU","Birds",NA,TRUE,FALSE
"52.0","Halcyon malimbica","Halcyon malimbica",NA,"Blue-breasted kingfisher","Alcedinidae","QGH15-02460","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A155","A155",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22683269/92981938",FALSE,FALSE
"53.0","Dacelo novaeguineae","Dacelo novaeguineae",NA,"Laughing kookaburra","Alcedinidae","MIG12-28802202/BARCELONA / 12619","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A407","A407",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"54.0","Dromaius novaehollandiae","Dromaius novaehollandiae",NA,"Common Emu","Casuariidae","27919533/MADRID Z / EMU10","UNKNOWN","U","Primary",NA,NA,NA,NA,NA,"A158","A158",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22678117/131902466",FALSE,FALSE
"55.0","Phoenicopterus roseus","Phoenicopterus roseus",NA,"Greater Flamingo","Phoenicopteriformes","FRW21-01235/JEREZ / FL30","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A181","A181",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/fr/species/22697360/155527405",FALSE,FALSE
"56.0","Phoenicopterus ruber","Phoenicopterus ruber",NA,"American flamingo","Phoenicopteriformes","27917629/MADRID Z / FLR32","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A231","A231",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"56.0","Phoenicopterus ruber","Phoenicopterus ruber",NA,"American flamingo","Phoenicopteriformes","ap22-00215","CAPTIVE",NA,"Primary",NA,NA,NA,NA,NA,"A358","A358",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"57.0","Haliaeetus leucocephalus","Haliaeetus leucocephalus",NA,"Bald Eagle","Accipitridae","2.7918336E7","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A250","A250",NA,NA,"*A250*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"58.0","Colius striatus","Colius striatus",NA,"Speckled Mousebird","Coliidae","QGH21-05850","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A243","A243",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22683776/93000568",FALSE,FALSE
"58.0","Colius striatus","Colius striatus",NA,"Speckled Mousebird","Coliidae","QGH14-02099/BARCELONA / 12241","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A323","A323",NA,NA,"*A323*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"59.0","Eurypyga helias","Eurypyga helias",NA,"Sunbittern","Eurypygidae","TPC14-02438/BARCELONA / 12461","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A257","A257",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"60.0","Musophaga violacea","Musophaga violacea",NA,"Violet turaco","Musophagidae","NGK18-00247","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A261","A261",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22688387/93195573",FALSE,FALSE
"61.0","Gallus gallus domestic","Gallus gallus","domestic","Domestic chicken","Phasianidae","WKP15-00483","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A297","A297",NA,NA,"*A297*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"62.0","Lophura edwardsi","Lophura edwardsi",NA,"Vietnam pheasant","Phasianidae","QGH22-06035/BARCELONA / 14079","CAPTIVE","U","Fibro","DNA",NA,NA,NA,NA,"A325","A325",NA,NA,"*A325*",NA,NA,"CR","Birds","https://www.iucnredlist.org/species/45354985/129928203",TRUE,FALSE
"63.0","Polyplectron napoleonis","Polyplectron napoleonis",NA,"Palawan peacock pheasant","Phasianidae","QGH16-04017","CAPTIVE","F","Fibro","DNA",NA,NA,NA,NA,"A330","A330",NA,NA,"*A330*",NA,NA,"VU","Birds","https://www.iucnredlist.org/species/22679398/132051467",TRUE,FALSE
"63.0","Polyplectron napoleonis","Polyplectron napoleonis",NA,"Palawan peacock pheasant","Phasianidae","MIG12-28325583/BARCELONA / 6405","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A421","A421",NA,NA,"*A421*",NA,NA,"VU","Birds",NA,TRUE,FALSE
"64.0","Pavo cristatus","Pavo cristatus",NA,"Indian Peafowl","Phasianidae",NA,"UNKNOWN","U","Fibro",NA,NA,NA,NA,NA,"A483","A483",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22679435/92814454",TRUE,FALSE
"64.0","Pavo cristatus","Pavo cristatus",NA,"Indian Peafowl","Phasianidae",NA,NA,NA,"Fibro",NA,NA,NA,NA,NA,"A517","A517",NA,NA,NA,NA,NA,"LC","Birds",NA,TRUE,FALSE
"65.0","Bucorvus leadbeateri","Bucorvus leadbeateri",NA,"Southern ground hornbill","Bucorvidae","QGH22-06111","CAPTIVE","U","Fibro",NA,NA,NA,NA,NA,"A344","A344",NA,NA,"*A344*",NA,NA,"VU","Birds","https://www.iucnredlist.org/species/22682638/92955067",TRUE,FALSE
"66.0","Jacana jacana","Jacana jacana",NA,"Wattled jacana","Jacanidae","QGH13-00872","WILD","M","Fibro",NA,NA,NA,NA,NA,"A346","A346",NA,NA,"*A346*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22693553/163616643",TRUE,FALSE
"67.0","Otus scops scops","Otus scops","scops","Eurasian scops owl","Strigidae","MIG12-28179259","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A24","A24",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/155019854/155020110",FALSE,FALSE
"67.0","Otus scops scops","Otus scops","scops","Eurasian scops owl","Strigidae","2.5996946E7","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A319","A319",NA,NA,NA,NA,NA,"LC","Birds","https://www.gbif.org/species/7060344",FALSE,FALSE
"67.0","Otus scops scops","Otus scops","scops","Eurasian scops owl","Strigidae","MIG12-28179174/BARCELONA / 10914","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A449","A449",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"68.0","Tyto alba","Tyto alba",NA,"Common Barn-owl","Tytonidae","27918191/MADRID Z / LCH32","CAPTIVE","M","Fibro",NA,NA,NA,NA,NA,"A232","A232",NA,NA,"*A232*",NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22688504/155542941",TRUE,FALSE
"69.0","Bubo scandiacus","Bubo scandiacus",NA,"Snowy Owl","Strigidae","24865002/MADRID Z / BUN2","CAPTIVE","M","Primary",NA,NA,NA,NA,NA,"A177","A177",NA,NA,NA,NA,NA,"VU","Birds","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=686683#null",FALSE,FALSE
"70.0","Strix aluco","Strix aluco",NA,"Tawny Owl","Strigidae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A256","A256",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"71.0","Tauraco erythrolophus","Tauraco erythrolophus",NA,"Red-crested turaco","Musophagidae","TRC15-00347/BARCELONA / 12900","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A371","A371",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"72.0","Tauraco leucotis","Tauraco leucotis",NA,"White-cheeked turaco","Musophagidae","WKP13-00227/MADRID Z / TURA3","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A372","A372",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22688355/95213742",FALSE,FALSE
"73.0","Falco naumanni","Falco naumanni",NA,"Lesser Kestrel","Falconidae","WKP22-01969/MADRID Z / CEP38","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A387","A387",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22696357/205768513",FALSE,FALSE
"73.0","Falco naumanni","Falco naumanni",NA,"Lesser Kestrel","Falconidae","WKP22-01966/MADRID Z / CEP35","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A455","A455",NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"74.0","Ramphastos toco","Ramphastos toco",NA,"Toco toucan","Ramphastidae","VMT19-40119/MADRID Z / TC7","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A435","A435",NA,NA,"*A435*",NA,NA,"LC","Birds",NA,TRUE,FALSE
"75.0","Parabuteo unicinctus","Parabuteo unicinctus",NA,"Harris' hawk/bay-winged hawk","Accipitridae","27920118/MADRID Z / HHA1","CAPTIVE","U","Primary",NA,NA,NA,NA,NA,"A477","A477",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22695838/93529685",FALSE,FALSE
"76.0","Accipiter gentilis","Accipiter gentilis",NA,"Northern Goshawk","Accipitridae",NA,NA,NA,"Primary",NA,NA,NA,NA,NA,"A320","A320",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22695683/198505113",FALSE,FALSE
"76.0","Accipiter gentilis","Accipiter gentilis",NA,"Northern Goshawk","Accipitridae","CRAS83/22",NA,NA,"Primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC","Birds",NA,FALSE,FALSE
"77.0","Casuarius casuarius","Casuarius casuarius",NA,"Southern cassowary","Casuariidae","MIG12-28433325/MADRID Z / CAS6","CAPTIVE","M","Fibro","RNA",NA,NA,NA,NA,"A500","A500",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22678108/131902050",TRUE,FALSE
"78.0","Rhea americana","Rhea americana",NA,"Greater rhea","Rheidae","QGL17-00566/MADRID Z / RH18","CAPTIVE","F","Fibro",NA,NA,NA,NA,NA,"A513","A513",NA,NA,NA,NA,NA,"NT","Birds","https://www.iucnredlist.org/species/22678073/219615764",TRUE,FALSE
"79.0","Pelecanus crispus","Pelecanus crispus",NA,"Dalmatian pelican","Pelecanidae","25328800/ BARCELONA / 2299","CAPTIVE","M","Fibro","DNA",NA,NA,NA,NA,"A502","A502",NA,NA,NA,NA,NA,"VU","Birds","https://www.iucnredlist.org/species/22697599/122838534",TRUE,FALSE
"80.0","Trachyphonus erythrocephalus","Trachyphonus erythrocephalus",NA,"Red-and-yellow barbet","Lybiidae","DKL21-06992/BARCELONA / 14024","CAPTIVE","F","Primary",NA,NA,NA,NA,NA,"A516","A516",NA,NA,NA,NA,NA,"LC","Birds","https://www.iucnredlist.org/species/22681889/92924667",FALSE,FALSE
